"osite","lohko","koeala","paino","T"
1,37087,9,3.8595066773,11.4833333333333
1,37087,10,3.8595066773,11.4833333333333
1,38024,8,3.8595066773,11.86
1,38024,11,3.8595066773,11.86
1,38025,2,3.8595066773,11.7233333333333
1,38025,3,3.8595066773,11.7233333333333
1,38025,6,3.8595066773,11.7233333333333
1,38045,7,3.8595066773,11.8
1,38046,6,3.8595066773,11.7033333333333
1,38046,8,3.8595066773,11.7033333333333
1,38047,3,3.8595066773,11.7033333333333
1,38047,5,3.8595066773,11.7033333333333
1,38047,6,3.8595066773,11.7033333333333
1,38047,7,3.8595066773,11.7033333333333
1,38047,8,3.8595066773,11.7033333333333
1,38047,9,3.8595066773,11.7033333333333
1,38049,8,3.8595066773,11.6833333333333
1,38049,10,3.8595066773,11.6833333333333
1,38049,11,3.8595066773,11.6833333333333
1,38050,3,3.8595066773,11.6833333333333
1,38050,4,3.8595066773,11.6833333333333
1,38050,5,3.8595066773,11.6833333333333
1,38050,9,3.8595066773,11.6833333333333
1,38081,2,3.8595066773,12.1166666666667
1,38081,3,3.8595066773,12.1166666666667
1,38085,2,3.8595066773,11.6233333333333
1,38085,8,3.8595066773,11.6233333333333
1,38085,9,3.8595066773,11.6233333333333
1,38085,10,3.8595066773,11.6233333333333
1,38086,9,3.8595066773,11.4733333333333
1,38087,5,3.8595066773,11.4733333333333
1,38088,3,3.8595066773,11.32
1,38088,4,3.8595066773,11.32
1,38088,6,3.8595066773,11.32
1,38088,7,3.8595066773,11.32
1,38088,8,3.8595066773,11.32
1,39020,7,3.8595066773,12.1733333333333
1,39021,5,3.8595066773,12.08
1,39022,1,3.8595066773,11.8866666666667
1,39022,2,3.8595066773,11.8866666666667
1,39022,10,3.8595066773,11.8866666666667
1,39022,11,3.8595066773,11.8866666666667
1,39023,2,3.8595066773,11.8866666666667
1,39023,6,3.8595066773,11.8866666666667
1,39023,9,3.8595066773,11.86
1,39024,3,3.8595066773,11.86
1,39024,9,3.8595066773,11.86
1,39025,2,3.8595066773,11.7233333333333
1,39025,4,3.8595066773,11.7233333333333
1,39026,2,3.8595066773,11.66
1,39026,3,3.8595066773,11.66
1,39026,4,3.8595066773,11.66
1,39026,5,3.8595066773,11.66
1,39026,7,3.8595066773,11.66
1,39026,8,3.8595066773,11.66
1,39026,9,3.8595066773,11.66
1,39026,10,3.8595066773,11.66
1,39047,3,3.8595066773,11.7033333333333
1,39048,3,3.8595066773,11.93
1,39049,5,3.8595066773,11.6833333333333
1,39050,3,3.8595066773,11.6833333333333
1,39050,7,3.8595066773,11.6833333333333
1,39052,10,3.8595066773,11.9033333333333
1,39054,4,3.8595066773,11.46
1,39054,6,3.8595066773,11.46
1,39056,7,3.8595066773,11.4833333333333
1,39081,8,3.8595066773,12.1166666666667
1,39082,3,3.8595066773,11.96
1,39082,6,3.8595066773,11.96
1,39082,8,3.8595066773,11.96
1,39083,2,3.8595066773,11.96
1,39083,4,3.8595066773,11.96
1,39083,6,3.8595066773,11.96
1,39083,7,3.8595066773,11.96
1,39085,2,3.8595066773,11.6233333333333
1,39085,3,3.8595066773,11.6233333333333
1,39085,4,3.8595066773,11.6233333333333
1,39085,5,3.8595066773,11.6233333333333
1,39085,6,3.8595066773,11.6233333333333
1,39085,7,3.8595066773,11.6233333333333
1,39085,8,3.8595066773,11.6233333333333
1,39085,9,3.8595066773,11.6233333333333
1,39086,6,3.8595066773,11.4733333333333
1,39087,10,3.8595066773,11.4733333333333
1,39088,2,3.8595066773,11.32
1,39088,4,3.8595066773,11.32
1,40021,8,3.8595066773,12.0166666666667
1,40023,2,3.8595066773,11.8166666666667
1,40023,6,3.8595066773,11.8166666666667
1,40023,8,3.8595066773,11.7166666666667
1,40023,9,3.8595066773,11.7166666666667
1,40024,2,3.8595066773,11.7166666666667
1,40024,8,3.8595066773,11.7166666666667
1,40025,4,3.8595066773,11.5366666666667
1,40025,5,3.8595066773,11.5366666666667
1,40025,7,3.8595066773,11.5366666666667
1,40026,2,3.8595066773,11.2666666666667
1,40026,6,3.8595066773,11.2666666666667
1,40043,2,3.8595066773,11.5033333333333
1,40044,4,3.8595066773,11.43
1,40044,8,3.8595066773,11.43
1,40046,10,3.8595066773,11.3766666666667
1,40047,2,3.8595066773,11.3766666666667
1,40047,3,3.8595066773,11.3766666666667
1,40047,9,3.8595066773,11.3766666666667
1,40048,2,3.8595066773,11.4533333333333
1,40048,4,3.8595066773,11.4533333333333
1,40048,8,3.8595066773,11.4533333333333
1,40049,6,3.8595066773,11.5333333333333
1,40050,4,3.8595066773,11.5333333333333
1,40050,6,3.8595066773,11.5333333333333
1,40056,7,3.8595066773,11.7333333333333
1,40056,10,3.8595066773,11.7333333333333
1,40057,5,3.8595066773,11.7333333333333
1,40057,9,3.8595066773,11.7333333333333
1,40082,3,3.8595066773,12.04
1,40084,2,3.8595066773,11.83
1,40084,3,3.8595066773,11.83
1,40084,4,3.8595066773,11.83
1,40085,8,3.8595066773,11.4666666666667
1,40085,10,3.8595066773,11.4666666666667
1,40088,2,3.8595066773,11.3833333333333
1,40088,3,3.8595066773,11.3833333333333
1,40088,4,3.8595066773,11.3833333333333
1,40089,2,3.8595066773,11.3833333333333
1,40089,3,3.8595066773,11.3833333333333
1,41023,2,3.8595066773,11.87
1,41023,8,3.8595066773,11.6966666666667
1,41023,9,3.8595066773,11.6966666666667
1,41024,8,3.8595066773,11.6966666666667
1,41024,9,3.8595066773,11.6966666666667
1,41024,10,3.8595066773,11.6966666666667
1,41025,8,3.8595066773,11.4933333333333
1,41026,10,3.8595066773,11.1133333333333
1,41027,9,3.8595066773,11.1133333333333
1,41027,10,3.8595066773,11.1133333333333
1,41042,6,3.8595066773,11.1
1,41042,7,3.8595066773,11.1
1,41043,1,3.8595066773,11.1
1,41043,5,3.8595066773,11.1
1,41043,10,3.8595066773,11.0666666666667
1,41044,4,3.8595066773,11.0666666666667
1,41044,6,3.8595066773,11.0666666666667
1,41044,7,3.8595066773,11.0666666666667
1,41044,9,3.8595066773,11.0666666666667
1,41047,8,3.8595066773,11.3133333333333
1,41047,9,3.8595066773,11.3133333333333
1,41048,7,3.8595066773,11.3966666666667
1,41049,3,3.8595066773,11.45
1,41049,6,3.8595066773,11.45
1,41049,10,3.8595066773,11.45
1,41050,3,3.8595066773,11.45
1,41051,4,3.8595066773,11.4533333333333
1,41051,6,3.8595066773,11.4533333333333
1,41051,9,3.8595066773,11.4533333333333
1,41054,3,3.8595066773,11.6366666666667
1,41057,2,3.8595066773,11.79
1,41057,3,3.8595066773,11.79
1,41058,9,3.8595066773,11.6033333333333
1,41059,4,3.8595066773,11.6466666666667
1,41059,5,3.8595066773,11.6466666666667
1,41059,7,3.8595066773,11.6466666666667
1,41073,3,3.8595066773,12.5466666666667
1,41073,6,3.8595066773,12.5466666666667
1,41073,8,3.8595066773,12.4633333333333
1,41073,10,3.8595066773,12.4633333333333
1,41082,8,3.8595066773,12.03
1,41083,1,3.8595066773,12.03
1,41083,10,3.8595066773,11.8566666666667
1,41084,5,3.8595066773,11.8566666666667
1,41084,6,3.8595066773,11.8566666666667
1,41084,9,3.8595066773,11.8566666666667
1,41085,2,3.8595066773,11.58
1,41085,5,3.8595066773,11.58
1,41085,6,3.8595066773,11.58
1,41085,7,3.8595066773,11.58
1,41085,9,3.8595066773,11.58
1,41086,6,3.8595066773,11.2533333333333
1,41086,7,3.8595066773,11.2533333333333
1,41087,4,3.8595066773,11.2533333333333
1,41087,5,3.8595066773,11.2533333333333
1,41087,8,3.8595066773,11.2533333333333
1,41087,9,3.8595066773,11.2533333333333
1,41088,1,3.8595066773,11.31
1,41088,2,3.8595066773,11.31
1,41088,3,3.8595066773,11.31
1,41088,4,3.8595066773,11.31
1,41088,5,3.8595066773,11.31
1,41088,6,3.8595066773,11.31
1,41089,7,3.8595066773,11.1966666666667
1,42024,2,3.8595066773,11.6966666666667
1,42024,3,3.8595066773,11.6966666666667
1,42024,4,3.8595066773,11.6966666666667
1,42024,7,3.8595066773,11.6633333333333
1,42025,7,3.8595066773,11.2066666666667
1,42025,8,3.8595066773,11.2066666666667
1,42025,9,3.8595066773,11.2066666666667
1,42025,10,3.8595066773,11.2066666666667
1,42026,2,3.8595066773,11.1133333333333
1,42026,3,3.8595066773,11.1133333333333
1,42026,6,3.8595066773,11.24
1,42026,7,3.8595066773,11.24
