ALUE	YEAR	MONTH	meanT
1	1995	11	-3.861136364
1	1995	12	-10.13755682
1	1996	1	-6.860284091
1	1996	2	-12.49477273
1	1996	3	-4.528465909
1	1996	4	1.677443182
1	1996	5	7.674545455
1	1996	6	12.99045455
1	1996	7	14.01125
1	1996	8	16.51278409
1	1996	9	7.768295455
1	1996	10	5.449488636
1	1996	11	1.611647727
1	1996	12	-7.469659091
1	1997	1	-7.250170455
1	1997	2	-5.843977273
1	1997	3	-2.455681818
1	1997	4	-0.040113636
1	1997	5	6.883579545
1	1997	6	15.64380682
1	1997	7	18.01727273
1	1997	8	16.81113636
1	1997	9	9.683579545
1	1997	10	1.676193182
1	1997	11	-1.709943182
1	1997	12	-5.219261364
1	1998	1	-4.069147727
1	1998	2	-8.495511364
1	1998	3	-6.460397727
1	1998	4	0.898522727
1	1998	5	8.126363636
1	1998	6	13.40329545
1	1998	7	15.78755682
1	1998	8	12.83835227
1	1998	9	10.14846591
1	1998	10	4.574772727
1	1998	11	-4.200568182
1	1998	12	-4.9175
1	1999	1	-9.231988636
1	1999	2	-9.369261364
1	1999	3	-2.921931818
1	1999	4	4.297727273
1	1999	5	6.522556818
1	1999	6	17.51022727
1	1999	7	17.16880682
1	1999	8	13.40767045
1	1999	9	10.81147727
1	1999	10	5.522215909
1	1999	11	0.359943182
1	1999	12	-4.798920455
1	2000	1	-5.120909091
1	2000	2	-4.579261364
1	2000	3	-2.811193182
1	2000	4	4.126079545
1	2000	5	9.514886364
1	2000	6	13.62721591
1	2000	7	16.27295455
1	2000	8	14.03414773
1	2000	9	8.433181818
1	2000	10	7.454829545
1	2000	11	2.403465909
1	2000	12	-1.155113636
1	2001	1	-3.709545455
1	2001	2	-10.08147727
1	2001	3	-6.276761364
1	2001	4	4.376420455
1	2001	5	7.805795455
1	2001	6	13.91636364
1	2001	7	18.70267045
1	2001	8	14.71994318
1	2001	9	10.71142045
1	2001	10	5.98625
1	2001	11	-2.121818182
1	2001	12	-9.849659091
1	2002	1	-6.450852273
1	2002	2	-2.755170455
1	2002	3	-1.831875
1	2002	4	3.928920455
1	2002	5	10.70914773
1	2002	6	15.46903409
1	2002	7	18.19113636
1	2002	8	17.188125
1	2002	9	9.171647727
1	2002	10	-0.623409091
1	2002	11	-5.299602273
1	2002	12	-10.82590909
1	2003	1	-13.13903409
1	2003	2	-6.981477273
1	2003	3	-1.602670455
1	2003	4	1.110454545
1	2003	5	9.607670455
1	2003	6	12.19045455
1	2003	7	19.71579545
1	2003	8	14.70056818
1	2003	9	10.22488636
1	2003	10	2.739602273
1	2003	11	0.955965909
1	2003	12	-3.087613636
1	2004	1	-8.90875
1	2004	2	-6.751931818
1	2004	3	-2.487272727
1	2004	4	3.459090909
1	2004	5	8.904943182
1	2004	6	12.38329545
1	2004	7	16.03323864
1	2004	8	15.13590909
1	2004	9	11.10363636
1	2004	10	4.075056818
1	2004	11	-1.696988636
1	2004	12	-2.497954545
1	2005	1	-3.051988636
1	2005	2	-7.101590909
1	2005	3	-7.543693182
1	2005	4	3.254204545
1	2005	5	8.739488636
1	2005	6	13.82994318
1	2005	7	18.02909091
1	2005	8	15.36840909
1	2005	9	10.92465909
1	2005	10	5.856988636
1	2005	11	3.076420455
1	2005	12	-5.437386364
1	2006	1	-6.366931818
1	2006	2	-11.03198864
1	2006	3	-8.794488636
1	2006	4	3.017329545
1	2006	5	9.580454545
1	2006	6	15.15181818
1	2006	7	17.27039773
1	2006	8	17.346875
1	2006	9	12.03704545
1	2006	10	5.392386364
1	2006	11	-0.082556818
1	2006	12	1.518920455
1	2007	1	-5.205795455
1	2007	2	-13.35471591
1	2007	3	1.335284091
1	2007	4	3.668522727
1	2007	5	9.428920455
1	2007	6	14.29613636
1	2007	7	16.24539773
1	2007	8	16.12392045
1	2007	9	9.310852273
1	2007	10	5.689602273
1	2007	11	-1.286875
1	2007	12	0.275340909
1	2008	1	-2.520340909
1	2008	2	-2.113181818
1	2008	3	-2.754261364
1	2008	4	3.994886364
1	2008	5	8.777272727
1	2008	6	13.16914773
1	2008	7	15.54113636
1	2008	8	13.21409091
1	2008	9	8.133579545
1	2008	10	6.337556818
1	2008	11	0.857613636
1	2008	12	-1.093238636
1	2009	1	-6.549375
1	2009	2	-7.094715909
1	2009	3	-3.218238636
1	2009	4	2.629431818
1	2009	5	10.54
1	2009	6	13.15613636
1	2009	7	16.00261364
1	2009	8	15.04017045
1	2009	9	11.41159091
1	2009	10	1.745170455
1	2009	11	1.168465909
1	2009	12	-7.786818182
1	2010	1	-14.43965909
1	2010	2	-11.09244318
1	2010	3	-4.387727273
1	2010	4	3.442272727
1	2010	5	10.92017045
1	2010	6	13.26897727
1	2010	7	20.87965909
1	2010	8	16.00511364
1	2010	9	10.06335227
1	2010	10	3.838238636
1	2010	11	-3.880852273
1	2010	12	-12.63681818
1	2011	1	-7.678465909
1	2011	2	-13.86670455
1	2011	3	-3.063522727
1	2011	4	4.386477273
1	2011	5	9.419829545
1	2011	6	16.07909091
1	2011	7	19.20346591
1	2011	8	15.35369318
1	2011	9	11.52647727
1	2011	10	6.031761364
1	2011	11	2.738295455
1	2011	12	0.602386364
1	2012	1	-7.692386364
1	2012	2	-10.42289773
1	2012	3	-1.573011364
1	2012	4	1.834431818
1	2012	5	9.591136364
1	2012	6	12.811875
1	2012	7	16.87954545
1	2012	8	14.32289773
1	2012	9	10.23948864
1	2012	10	4.287613636
1	2012	11	1.556875
1	2012	12	-9.964488636
1	2013	1	-6.846761364
1	2013	2	-3.745511364
1	2013	3	-8.601079545
1	2013	4	1.781363636
1	2013	5	12.27409091
1	2013	6	16.75068182
1	2013	7	16.31948864
1	2013	8	15.66039773
1	2013	9	10.76789773
1	2013	10	5.080284091
1	2013	11	1.834943182
1	2013	12	-0.332840909
1	2014	1	-9.330454545
1	2014	2	-0.981590909
1	2014	3	0.686022727
1	2014	4	3.899261364
1	2014	5	9.622784091
1	2014	6	12.56880682
1	2014	7	19.17886364
1	2014	8	16.165
1	2014	9	10.76960227
1	2014	10	3.751477273
1	2014	11	0.636875
1	2014	12	-2.536988636
1	2015	1	-5.116306818
1	2015	2	-1.656647727
1	2015	3	0.289090909
1	2015	4	3.632613636
1	2015	5	8.749943182
1	2015	6	12.46795455
1	2015	7	14.865
1	2015	8	15.76954545
1	2015	9	11.48471591
1	2015	10	4.422215909
1	2015	11	2.946477273
1	2015	12	0.417613636
1	2016	1	-13.13778409
1	2016	2	-2.272954545
1	2016	3	-1.053238636
1	2016	4	3.735681818
1	2016	5	12.29346591
1	2016	6	14.30181818
1	2016	7	17.02278409
1	2016	8	14.72039773
1	2016	9	10.89380682
1	2016	10	3.374545455
1	2016	11	-2.287159091
1	2016	12	-2.464943182
1	2017	1	-4.37
1	2017	2	-5.428693182
1	2017	3	-0.749943182
1	2017	4	0.758125
1	2017	5	7.083579545
1	2017	6	12.55926136
1	2017	7	14.91210227
1	2017	8	14.53659091
1	2017	9	9.782670455
1	2017	10	3.978352273
1	2017	11	1.157784091
1	2017	12	-0.928693182
1	2018	1	-4.617272727
1	2018	2	-10.49704545
1	2018	3	-6.905
1	2018	4	3.092272727
1	2018	5	13.36897727
1	2018	6	13.83164773
1	2018	7	20.00886364
1	2018	8	16.78710227
1	2018	9	11.72755682
