region year litter_type ground litter mortality
south 2011 fine_woody_litter below 0.228458283671463 logging
south 2012 fine_woody_litter below 0.22606849433107 logging
south 2013 fine_woody_litter below 0.250880418167545 logging
south 2014 fine_woody_litter below 0.252894287046692 logging
south 2015 fine_woody_litter below 0.269810326420959 logging
south 2016 fine_woody_litter below 0.28088668284361 logging
south 2017 fine_woody_litter below 0.29103254691826 logging
south 2018 fine_woody_litter below 0.312419579431641 logging
south 2019 fine_woody_litter below 0.292045389576549 logging
south 2020 fine_woody_litter below 0.27413201884726 logging
south 2021 fine_woody_litter below 0.302999397242838 logging
north 1990 non-woody_litter above 0.0308875378155372 logging
north 1991 non-woody_litter above 0.0239208630653908 logging
north 1992 non-woody_litter above 0.0267343242144108 logging
north 1993 non-woody_litter above 0.0274242395610836 logging
north 1994 non-woody_litter above 0.0297263914732521 logging
north 1995 non-woody_litter above 0.0294857156020896 logging
north 1996 non-woody_litter above 0.0255342841375795 logging
north 1997 non-woody_litter above 0.0276314193754309 logging
north 1998 non-woody_litter above 0.0290910942642209 logging
north 1999 non-woody_litter above 0.0291389207554107 logging
north 2000 non-woody_litter above 0.0302446327453693 logging
north 2001 non-woody_litter above 0.0312138044125087 logging
north 2002 non-woody_litter above 0.0306352709709282 logging
north 2003 non-woody_litter above 0.0322612924348565 logging
north 2004 non-woody_litter above 0.0334523288512543 logging
north 2005 non-woody_litter above 0.033334597605291 logging
north 2006 non-woody_litter above 0.0306971140375036 logging
north 2007 non-woody_litter above 0.0350035110128755 logging
north 2008 non-woody_litter above 0.03562608859132 logging
north 2009 non-woody_litter above 0.0257880274719273 logging
north 2010 non-woody_litter above 0.031848910231167 logging
north 2011 non-woody_litter above 0.0333283484829903 logging
north 2012 non-woody_litter above 0.0323692011131119 logging
north 2013 non-woody_litter above 0.0343204433814414 logging
north 2014 non-woody_litter above 0.0344103100694438 logging
north 2015 non-woody_litter above 0.0342672827368997 logging
north 2016 non-woody_litter above 0.0332437290766824 logging
north 2017 non-woody_litter above 0.0345517928191278 logging
north 2018 non-woody_litter above 0.0389121526644927 logging
north 2019 non-woody_litter above 0.0384354517805152 logging
north 2020 non-woody_litter above 0.0374680269796469 logging
north 2021 non-woody_litter above 0.0405835340939257 logging
north 1990 non-woody_litter below 0.0174610731104439 logging
north 1991 non-woody_litter below 0.0134234544906733 logging
north 1992 non-woody_litter below 0.0151504895530107 logging
north 1993 non-woody_litter below 0.0159663154218417 logging
north 1994 non-woody_litter below 0.0177541268587776 logging
north 1995 non-woody_litter below 0.0176962399065787 logging
north 1996 non-woody_litter below 0.0163016984012659 logging
north 1997 non-woody_litter below 0.0174041080531527 logging
north 1998 non-woody_litter below 0.0186313595953288 logging
north 1999 non-woody_litter below 0.0185647139928321 logging
north 2000 non-woody_litter below 0.018912652696057 logging
north 2001 non-woody_litter below 0.019021526298083 logging
north 2002 non-woody_litter below 0.0184805910678111 logging
north 2003 non-woody_litter below 0.0194113296736277 logging
north 2004 non-woody_litter below 0.0201062752612415 logging
north 2005 non-woody_litter below 0.0198046689335058 logging
north 2006 non-woody_litter below 0.0181876153008364 logging
north 2007 non-woody_litter below 0.0213460973331608 logging
north 2008 non-woody_litter below 0.0214598722819588 logging
north 2009 non-woody_litter below 0.0219376201996455 logging
north 2010 non-woody_litter below 0.027595768471186 logging
north 2011 non-woody_litter below 0.0286765547117185 logging
north 2012 non-woody_litter below 0.0277799342757178 logging
north 2013 non-woody_litter below 0.0297757057817952 logging
north 2014 non-woody_litter below 0.0297648189907566 logging
north 2015 non-woody_litter below 0.0299047453347467 logging
north 2016 non-woody_litter below 0.0297984775764293 logging
north 2017 non-woody_litter below 0.0305518174341859 logging
north 2018 non-woody_litter below 0.0343454229430433 logging
north 2019 non-woody_litter below 0.0334854843436718 logging
north 2020 non-woody_litter below 0.0322800474607515 logging
north 2021 non-woody_litter below 0.0355661554520867 logging
south 1990 non-woody_litter above 0.0521065264276274 logging
south 1991 non-woody_litter above 0.0425836946613267 logging
south 1992 non-woody_litter above 0.0481993220527474 logging
south 1993 non-woody_litter above 0.0511209404477787 logging
south 1994 non-woody_litter above 0.0599721695589988 logging
south 1995 non-woody_litter above 0.061617553306663 logging
south 1996 non-woody_litter above 0.0566449974927699 logging
south 1997 non-woody_litter above 0.0642469096613364 logging
south 1998 non-woody_litter above 0.0653973120954499 logging
south 1999 non-woody_litter above 0.0661277944087882 logging
south 2000 non-woody_litter above 0.066877861863399 logging
south 2001 non-woody_litter above 0.0634203440409884 logging
south 2002 non-woody_litter above 0.0645307188911509 logging
south 2003 non-woody_litter above 0.0643293012490494 logging
south 2004 non-woody_litter above 0.0641164927843202 logging
south 2005 non-woody_litter above 0.0612686852172042 logging
south 2006 non-woody_litter above 0.0594582580275799 logging
south 2007 non-woody_litter above 0.0661030924820029 logging
south 2008 non-woody_litter above 0.0579117602369083 logging
south 2009 non-woody_litter above 0.0506493336749353 logging
south 2010 non-woody_litter above 0.0623300715920167 logging
south 2011 non-woody_litter above 0.0629145636468435 logging
south 2012 non-woody_litter above 0.062501718373223 logging
south 2013 non-woody_litter above 0.0692988948892906 logging
south 2014 non-woody_litter above 0.0697444731263404 logging
south 2015 non-woody_litter above 0.0738072621908724 logging
south 2016 non-woody_litter above 0.0780785882719411 logging
south 2017 non-woody_litter above 0.0806908109982437 logging
south 2018 non-woody_litter above 0.0865921150583818 logging
south 2019 non-woody_litter above 0.0795817009405532 logging
south 2020 non-woody_litter above 0.0747762566864803 logging
south 2021 non-woody_litter above 0.0840830627298417 logging
south 1990 non-woody_litter below 0.0294597274535926 logging
south 1991 non-woody_litter below 0.0234990640872812 logging
south 1992 non-woody_litter below 0.0272564918097101 logging
south 1993 non-woody_litter below 0.0284602015561955 logging
south 1994 non-woody_litter below 0.0331347037267156 logging
south 1995 non-woody_litter below 0.0342292393527532 logging
south 1996 non-woody_litter below 0.0315080047613758 logging
south 1997 non-woody_litter below 0.0353863513626497 logging
south 1998 non-woody_litter below 0.0364736421185062 logging
south 1999 non-woody_litter below 0.0363209941719874 logging
south 2000 non-woody_litter below 0.0366642582042637 logging
south 2001 non-woody_litter below 0.0348630779506536 logging
south 2002 non-woody_litter below 0.0356941045140886 logging
south 2003 non-woody_litter below 0.035878513120211 logging
south 2004 non-woody_litter below 0.0354619595020376 logging
south 2005 non-woody_litter below 0.0336288825768851 logging
south 2006 non-woody_litter below 0.0333587598602818 logging
south 2007 non-woody_litter below 0.0374781462010917 logging
south 2008 non-woody_litter below 0.0333079687158712 logging
south 2009 non-woody_litter below 0.0327491090819042 logging
south 2010 non-woody_litter below 0.0415470912569591 logging
south 2011 non-woody_litter below 0.0420538790998347 logging
south 2012 non-woody_litter below 0.0424466250414185 logging
south 2013 non-woody_litter below 0.0460445485602719 logging
south 2014 non-woody_litter below 0.0469159038552849 logging
south 2015 non-woody_litter below 0.0496210914829634 logging
south 2016 non-woody_litter below 0.0512988803913804 logging
south 2017 non-woody_litter below 0.0534573729346234 logging
south 2018 non-woody_litter below 0.0573279582223524 logging
south 2019 non-woody_litter below 0.0529091330484419 logging
south 2020 non-woody_litter below 0.0498582286693108 logging
south 2021 non-woody_litter below 0.0552449228380834 logging
north 1990 coarse_woody_litter above 0.020125710941322 natural
north 1991 coarse_woody_litter above 0.0201264465346161 natural
north 1992 coarse_woody_litter above 0.0201276199476091 natural
north 1993 coarse_woody_litter above 0.0201303868255243 natural
north 1994 coarse_woody_litter above 0.0201333856421386 natural
north 1995 coarse_woody_litter above 0.0201374990625411 natural
north 1996 coarse_woody_litter above 0.0201409505206852 natural
north 1997 coarse_woody_litter above 0.0229824045049783 natural
north 1998 coarse_woody_litter above 0.0258221352869627 natural
