region peat_type year fine_root_litter_production litter_biomass total_below_ground_litter
north 2 1990 0.42427050438391 0.0630565200712264 0.487327024455137
north 2 1991 0.43236908667528 0.0649976850797079 0.497366771754988
north 2 1992 0.440467668963623 0.0669388500874644 0.507406519051087
north 2 1993 0.448588439148647 0.068885333355516 0.517473772504163
north 2 1994 0.456687021438034 0.0708264983635227 0.527513519801557
north 2 1995 0.464785603726261 0.0727676633712509 0.537553267097511
north 2 1996 0.472884186014487 0.0747088283789792 0.547593014393466
north 2 1997 0.481004956198701 0.0766553116468368 0.557660267845538
north 2 1998 0.489103538487045 0.0785964766545932 0.567700015141638
north 2 1999 0.497202120775388 0.0805376416623496 0.577739762437738
north 2 2000 0.505300703063732 0.082478806670106 0.587779509733838
north 2 2001 0.513421473248756 0.0844252899381576 0.597846763186913
north 2 2002 0.521520055537099 0.086366454945914 0.607886510483013
north 2 2003 0.529258407237758 0.0883025273296994 0.617560934567457
north 2 2004 0.533661057280336 0.0901914424899989 0.623852499770335
north 2 2005 0.538075769377777 0.0920855327603065 0.630161302138084
north 2 2006 0.542478419420281 0.0939744479205744 0.636452867340855
north 2 2007 0.546908008372122 0.0958323025199801 0.642740310892102
north 2 2008 0.55154530695426 0.0974506679341552 0.648995974888415
north 2 2009 0.556195310464008 0.0990734672261729 0.655268777690181
north 2 2010 0.56083260904631 0.100691832640405 0.661524441686715
north 2 2011 0.565469907628329 0.102310198054539 0.667780105682868
north 2 2012 0.572136223089152 0.104319735481741 0.676455958570893
north 2 2013 0.582847538769995 0.107111088721684 0.689958627491679
north 2 2014 0.59352958856647 0.109894815314856 0.703424403881326
north 2 2015 0.604211638360106 0.112678541907288 0.716890180267394
north 2 2016 0.614893688153273 0.115462268499599 0.730355956652872
north 2 2017 0.605953234493675 0.114171396392786 0.720124630886461
north 2 2018 0.597012780834076 0.112880524285974 0.70989330512005
north 2 2019 0.588072327174477 0.111589652179161 0.699661979353638
north 2 2020 0.579131873514878 0.110298780072349 0.689430653587227
north 2 2021 0.579131873514878 0.110298780072349 0.689430653587227
north 4 1990 0.682140941840927 0.0380211243993997 0.720162066240327
north 4 1991 0.690414853925381 0.0394375742046385 0.729852428130019
north 4 1992 0.698688766006743 0.0408540240093481 0.739542790016092
north 4 1993 0.706985346340384 0.0422743544984543 0.749259700838838
north 4 1994 0.715259258422813 0.0436908043033465 0.758950062726159
north 4 1995 0.723533170504056 0.0451072541080356 0.768640424612091
north 4 1996 0.731807082585298 0.0465237039127248 0.778330786498023
north 4 1997 0.740103662918112 0.0479440344016894 0.788047697319801
north 4 1998 0.748377574999475 0.0493604842063991 0.797738059205874
north 4 1999 0.756651487080837 0.0507769340111087 0.807428421091945
north 4 2000 0.764925399162199 0.0521933838158184 0.817118782978018
north 4 2001 0.77322197949584 0.0536137143049245 0.826835693800764
north 4 2002 0.781495891577202 0.0550301641096342 0.836526055686836
north 4 2003 0.789776653728394 0.0564125571795602 0.846189210907954
north 4 2004 0.798120846886222 0.0574795880603547 0.855600434946577
north 4 2005 0.806487900847133 0.0585495423134139 0.865037443160547
north 4 2006 0.814832094004822 0.0596165731941905 0.874448667199012
north 4 2007 0.823385317067774 0.0608358672708225 0.884221184338596
north 4 2008 0.833550243232242 0.0632291707016443 0.896779413933887
north 4 2009 0.843743018509464 0.0656290311281605 0.909372049637624
north 4 2010 0.853907944674293 0.0680223345590671 0.92193027923336
north 4 2011 0.864072870838502 0.0704156379898277 0.93448850882833
north 4 2012 0.876084250363587 0.0725283215119163 0.948612571875503
north 4 2013 0.891792963112416 0.0740898819300477 0.965882845042464
north 4 2014 0.907458755889079 0.0756471757904569 0.983105931679536
north 4 2015 0.923124548661581 0.0772044696504525 1.00032901831203
north 4 2016 0.938790341433396 0.0787617635103798 1.01755210494378
north 4 2017 0.937830656091928 0.0796542695243665 1.01748492561629
north 4 2018 0.93687097075046 0.0805467755383531 1.01741774628881
north 4 2019 0.935911285408992 0.0814392815523397 1.01735056696133
north 4 2020 0.934951600067525 0.0823317875663264 1.01728338763385
north 4 2021 0.934951600067525 0.0823317875663264 1.01728338763385
north 6 1990 0.220889202743467 0.0215388061565843 0.242428008900051
north 6 1991 0.222356111833639 0.0221333295573025 0.244489441390942
north 6 1992 0.223823020923264 0.0227278529577985 0.246550873881062
north 6 1993 0.225293948941901 0.0233240051895289 0.24861795413143
north 6 1994 0.226760858031715 0.0239185285901016 0.250679386621816
north 6 1995 0.228227767121318 0.024513051990589 0.252740819111907
north 6 1996 0.229694676210921 0.0251075753910765 0.254802251601998
north 6 1997 0.231165604229412 0.0257037276227475 0.256869331852159
north 6 1998 0.232632513319036 0.0262982510232435 0.25893076434228
north 6 1999 0.234099422408661 0.0268927744237396 0.2609921968324
north 6 2000 0.235566331498285 0.0274872978242357 0.263053629322521
north 6 2001 0.237037259516922 0.028083450055966 0.265120709572888
north 6 2002 0.238504168606547 0.0286779734564621 0.267182142063009
north 6 2003 0.240211944587215 0.029434038068235 0.26964598265545
north 6 2004 0.244150125522098 0.0316859592354543 0.275836084757552
north 6 2005 0.248099095993746 0.0339440500496831 0.28204314604343
north 6 2006 0.252037276928564 0.0361959712168646 0.288233248145428
north 6 2007 0.255684013446994 0.0382832367847059 0.2939672502317
north 6 2008 0.257083598456885 0.0391009426779157 0.2961845411348
north 6 2009 0.25848701794625 0.0399208888612416 0.298407906807492
north 6 2010 0.25988660295619 0.0407385947544803 0.30062519771067
north 6 2011 0.261286187966044 0.0415563006476691 0.302842488613713
north 6 2012 0.26277722656875 0.0423175072881819 0.305094733856932
north 6 2013 0.264453846730705 0.0429686724174645 0.30742251914817
north 6 2014 0.266125885964112 0.0436180584073822 0.309743944371494
north 6 2015 0.267797925197075 0.0442674443971273 0.312065369594202
north 6 2016 0.269469964429964 0.0449168303868441 0.314386794816808
north 6 2017 0.269514622266402 0.0455346900723956 0.315049312338797
north 6 2018 0.269559280102839 0.0461525497579471 0.315711829860786
north 6 2019 0.269603937939277 0.0467704094434985 0.316374347382775
north 6 2020 0.269648595775714 0.04738826912905 0.317036864904764
north 6 2021 0.269648595775714 0.04738826912905 0.317036864904764
north 7 1990 0.210471124878536 0.0227503942616482 0.233221519140185
north 7 1991 0.207101591211619 0.0216140122601563 0.228715603471775
north 7 1992 0.203732057545961 0.020477630259089 0.22420968780505
north 7 1993 0.200353292281218 0.0193381348826763 0.219691427163894
north 7 1994 0.196983758615125 0.0182017528814625 0.215185511496588
north 7 1995 0.193614224949516 0.0170653708804116 0.210679595829927
north 7 1996 0.190244691283906 0.0159289888793607 0.206173680163266
north 7 1997 0.1868659260195 0.0147894935030616 0.201655419522562
north 7 1998 0.183496392353842 0.0136531115019942 0.197149503855836
north 7 1999 0.180126858688183 0.0125167295009269 0.19264358818911
north 7 2000 0.176757325022525 0.0113803474998595 0.188137672522384
north 7 2001 0.173378559757782 0.0102408521234468 0.183619411881229
north 7 2002 0.170009026092124 0.00910447012237946 0.179113496214503
north 7 2003 0.167632431943006 0.00832359455497488 0.175956026497981
north 7 2004 0.174450365143427 0.0108346754187386 0.185285040562166
north 7 2005 0.181286977612817 0.0133526359560748 0.194639613568892
north 7 2006 0.188104910813124 0.0158637168197964 0.20396862763292
north 7 2007 0.194661138535543 0.0182891062515661 0.212950244787109
north 7 2008 0.199199513708661 0.020053780914392 0.219253294623053
north 7 2009 0.203750322786351 0.0218232903023167 0.225573613088668
north 7 2010 0.20828869795963 0.0235879649652051 0.231876662924835
north 7 2011 0.212827073132632 0.0253526396279859 0.238179712760618
north 7 2012 0.214386847245737 0.0280363350876898 0.242423182333427
north 7 2013 0.21003963726766 0.0325512489125717 0.242590886180232
north 7 2014 0.205704304910254 0.0370538269096365 0.24275813181989
north 7 2015 0.201368972553999 0.0415564049055048 0.242925377459504
north 7 2016 0.197033640197935 0.0460589829011761 0.243092623099111
north 7 2017 0.195793293415179 0.0485498134070258 0.244343106822205
north 7 2018 0.194552946632423 0.0510406439128756 0.245593590545299
north 7 2019 0.193312599849667 0.0535314744187253 0.246844074268392
north 7 2020 0.192072253066911 0.056022304924575 0.248094557991486
north 7 2021 0.192072253066911 0.056022304924575 0.248094557991486
south 1 1990 1.47897684337142 0.11026538698159 1.58924223035301
south 1 1991 1.48643579172521 0.112088401674608 1.59852419339981
south 1 1992 1.49389474007899 0.113911416367627 1.60780615644662
south 1 1993 1.50137412390735 0.115739425621358 1.6171135495287
south 1 1994 1.50883307226119 0.117562440314393 1.62639551257559
south 1 1995 1.51629202061504 0.119385455007427 1.63567747562247
south 1 1996 1.5237509689615 0.121208469698657 1.64495943866016
south 1 1997 1.53123035278919 0.123036478952224 1.65426683174142
south 1 1998 1.53868930114194 0.12485949364499 1.66354879478693
south 1 1999 1.54610154870887 0.126336712880524 1.6724382615894
south 1 2000 1.55345088893874 0.127348135434418 1.68079902437315
south 1 2001 1.56082036434731 0.128362329009008 1.68918269335632
south 1 2002 1.56816970457694 0.12937375156287 1.69754345613981
south 1 2003 1.57551904480686 0.13038517411677 1.70590421892363
south 1 2004 1.58286838503677 0.131396596670671 1.71426498170744
south 1 2005 1.5902378604454 0.132410790245267 1.72264865069066
south 1 2006 1.59758720067531 0.133422212799168 1.73100941347448
south 1 2007 1.60160827863372 0.134203283587889 1.73581156222161
south 1 2008 1.59953326679272 0.13456243899496 1.73409570578768
south 1 2009 1.59745256998695 0.134922578389589 1.73237514837654
south 1 2010 1.59537755814568 0.135281733796707 1.73065929194238
south 1 2011 1.59330254630428 0.135640889203846 1.72894343550813
south 1 2012 1.591147804622 0.136204605589052 1.72735241021105
south 1 2013 1.58887847717426 0.137048710187487 1.72592718736175
south 1 2014 1.58661535007386 0.137890508489535 1.72450585856339
south 1 2015 1.58435222297397 0.138732306791389 1.72308452976536
south 1 2016 1.58208909587409 0.139574105093243 1.72166320096733
south 1 2017 1.59617848982349 0.142572118296045 1.73875060811953
south 1 2018 1.61026788377289 0.145570131498847 1.75583801527174
south 1 2019 1.62435727772228 0.148568144701648 1.77292542242393
south 1 2020 1.63844667167168 0.15156615790445 1.79001282957613
south 1 2021 1.63844667167168 0.15156615790445 1.79001282957613
south 2 1990 1.03063881803389 0.119848300534652 1.15048711856854
south 2 1991 1.03243973061319 0.1209484371945 1.15338816780769
south 2 1992 1.03424064319249 0.122048573854348 1.15628921704684
south 2 1993 1.03604648977877 0.123151724587183 1.15919821436595
south 2 1994 1.03784740235808 0.124251861247041 1.16209926360512
south 2 1995 1.0396483149374 0.125351997906898 1.1650003128443
south 2 1996 1.04144922751493 0.126452134565667 1.1679013620806
south 2 1997 1.04325507410105 0.127555285298403 1.17081035939945
south 2 1998 1.0450559866801 0.128655421958099 1.1737114086382
south 2 1999 1.04716940466691 0.129686781118062 1.17685618578498
south 2 2000 1.04970377665627 0.130625494956898 1.18032927161316
south 2 2001 1.05224509213052 0.131566780614471 1.18381187274499
south 2 2002 1.05477946411979 0.132505494453277 1.18728495857307
south 2 2003 1.05731383610916 0.13344420829212 1.19075804440128
south 2 2004 1.05984820809852 0.134382922130962 1.19423113022949
