region year peat_type peat_deg
north 1991 7 1.70007584329141
north 1992 7 1.69030217245639
north 1993 7 1.61939716329128
north 1994 7 1.59758620233325
north 1995 7 1.60309381349336
north 1996 7 1.58697052701365
north 1997 7 1.56318315741424
north 1998 7 1.5776518032142
north 1999 7 1.57395984174723
north 2000 7 1.57076566145635
north 2001 7 1.59164686085045
north 2002 7 1.5698935209333
north 2003 7 1.58548159163711
north 2004 7 1.61111731602917
north 2005 7 1.66627663117585
north 2006 7 1.76141497382719
north 2007 7 1.82989199487847
north 2008 7 1.85123707250549
north 2009 7 1.87401136028022
north 2010 7 1.91150396528827
north 2011 7 1.97170706867375
north 2012 7 1.9985457190335
north 2013 7 2.01162458358287
north 2014 7 1.99967168420899
north 2015 7 1.98999759521439
north 2016 7 1.99840718786393
south 1990 1 4.16882746195613
south 1991 1 4.15379632353121
south 1992 1 4.17835127547777
south 1993 1 4.13227483906802
south 1994 1 4.13700851288744
south 1995 1 4.17140979849741
south 1996 1 4.17440499994293
south 1997 1 4.17576382503735
south 1998 1 4.20014297290087
south 1999 1 4.22296577163484
south 2000 1 4.23380768089433
south 2001 1 4.27119700633087
south 2002 1 4.26757983128219
south 2003 1 4.28799253145258
south 2004 1 4.29855202901783
south 2005 1 4.31698920376197
south 2006 1 4.39583016503689
south 2007 1 4.43732586371469
south 2008 1 4.45213941423186
south 2009 1 4.45859004494792
south 2010 1 4.4880398536679
south 2011 1 4.5292395842438
south 2012 1 4.55615931376734
south 2013 1 4.58931557921677
south 2014 1 4.60643578110193
south 2015 1 4.62012485587771
south 2016 1 4.65277476003261
south 1990 2 3.98615302198838
south 1991 2 3.9642607516018
south 1992 2 3.98225663944214
south 1993 2 3.93017115505276
south 1994 2 3.92871246345682
south 1995 2 3.95664693574919
south 1996 2 3.95409673091816
south 1997 2 3.94967411197528
south 1998 2 3.9693654372956
south 1999 2 3.9885769460514
south 2000 2 4.00022159445417
south 2001 2 4.03833380325629
south 2002 2 4.035204225779
south 2003 2 4.05715604079959
south 2004 2 4.06776728162525
south 2005 2 4.08790297508359
south 2006 2 4.16706314345424
south 2007 2 4.2096398907345
south 2008 2 4.2257423904828
south 2009 2 4.23425776646916
south 2010 2 4.26531965742072
south 2011 2 4.30853560009412
south 2012 2 4.33369616325563
south 2013 2 4.35951424175483
south 2014 2 4.36826752383832
south 2015 2 4.37419144443343
south 2016 2 4.39883929608336
south 1990 4 3.02889668928575
south 1991 4 3.01578456777736
south 1992 4 3.04210262022193
south 1993 4 2.99969588425468
south 1994 4 3.00739966647141
south 1995 4 3.04360671953948
south 1996 4 3.05083118722502
south 1997 4 3.05664945046557
south 1998 4 3.08746933275547
south 1999 4 3.10934701058539
south 2000 4 3.11964717496482
south 2001 4 3.15570581774505
south 2002 4 3.15105801704235
south 2003 4 3.17340997232245
south 2004 4 3.1819047561242
south 2005 4 3.20225169599737
south 2006 4 3.27894671653716
south 2007 4 3.3222143517664
south 2008 4 3.34343325849103
south 2009 4 3.35840654055191
south 2010 4 3.39486398392182
south 2011 4 3.44571652560736
south 2012 4 3.47359149202486
south 2013 4 3.49721708089359
south 2014 4 3.50250646813049
south 2015 4 3.50512354100835
south 2016 4 3.5259950231527
south 1990 6 2.48935438179463
south 1991 6 2.47682782793755
south 1992 6 2.50359071234869
south 1993 6 2.4622949724633
south 1994 6 2.47040033234215
south 1995 6 2.50706767299543
south 1996 6 2.51457656567042
south 1997 6 2.52118166968945
south 1998 6 2.55257850340463
south 1999 6 2.57656376252864
south 2000 6 2.59213221730423
south 2001 6 2.63329337245072
south 2002 6 2.63427089395636
south 2003 6 2.66224228979093
south 2004 6 2.67593311185488
south 2005 6 2.70194737329107
south 2006 6 2.78355086606777
south 2007 6 2.82725557709398
south 2008 6 2.84063613193876
south 2009 6 2.84809952885647
south 2010 6 2.87660152167352
south 2011 6 2.92000636995185
south 2012 6 2.94676878996756
south 2013 6 2.9790028399605
south 2014 6 2.99245868836026
south 2015 6 3.00341980144856
south 2016 6 3.03243931965783
south 1990 7 2.19562835174359
south 1991 7 2.16743299661936
south 1992 7 2.17876074949046
south 1993 7 2.12359884073587
south 1994 7 2.11697738675851
south 1995 7 2.13759425843595
south 1996 7 2.13069339443798
south 1997 7 2.12405789274202
south 1998 7 2.14073099808754
south 1999 7 2.15336082043907
south 2000 7 2.16626669336411
south 2001 7 2.20428747129713
south 2002 7 2.20429221817645
south 2003 7 2.23130872783811
south 2004 7 2.24254543352448
south 2005 7 2.26653940087197
south 2006 7 2.34493146557299
south 2007 7 2.39217897081683
south 2008 7 2.41982989294327
south 2009 7 2.44199533883536
south 2010 7 2.48353159820462
south 2011 7 2.54256894699216
south 2012 7 2.57312828278307
south 2013 7 2.59531218376803
south 2014 7 2.59909198278188
south 2015 7 2.59942558386301
south 2016 7 2.61746739735025
