region year month mean_T sd_T cv
south 1985 11 -2.85352272727273 1.08260265826644 -37.9391636842208
north 1985 12 -17.0830085736555 2.77305533143882 -16.23282760459
south 1985 12 -9.52596590909091 2.04350123663389 -21.451905834386
north 1986 1 -17.3366328916602 1.50448581824317 -8.67807392384083
south 1986 1 -11.3992045454545 2.08931863332109 -18.328635344597
north 1986 2 -14.744505066251 0.899101979051355 -6.0978783283091
south 1986 2 -13.1919886363636 1.27286747493188 -9.64879147502623
north 1986 3 -3.06477007014809 1.10898599070964 -36.1849654403619
south 1986 3 -1.21375 0.397567396970122 -32.7552953219462
north 1986 4 -1.89836321122369 1.22712662448913 -64.6412982106895
south 1986 4 1.25579545454545 0.825152108004178 65.7075246623542
north 1986 5 6.54910366328917 1.49313208515621 22.7990296370772
south 1986 5 9.89335227272727 0.913076072675056 9.22918791835713
north 1986 6 14.9613406079501 0.900339030507491 6.01776975807282
south 1986 6 16.4536931818182 0.575270158902589 3.49629808059311
north 1986 7 14.6946999220577 1.16315777340257 7.91549184108617
south 1986 7 16.4873863636364 0.721126013448917 4.37380429829309
north 1986 8 9.66843335931411 0.898009391184412 9.28805482554537
south 1986 8 12.4046590909091 0.854504100178926 6.88857383275579
north 1986 9 3.75830085736555 0.942752590065765 25.0845428784167
south 1986 9 6.03704545454545 0.747770853031422 12.3863710926411
north 1986 10 2.29399844115355 1.21353642774497 52.9004905136178
south 1986 10 4.54170454545455 0.82744250949364 18.2187656905548
north 1986 11 -1.39649259547935 1.81698826272049 -130.110841160372
south 1986 11 2.35607954545455 0.941269976859411 39.9506875171236
north 1986 12 -16.8332034294622 2.19957546852466 -13.066885799496
south 1986 12 -10.9961931818182 2.42839518620774 -22.0839625682732
north 1987 1 -21.0844115354638 0.857675372291291 -4.06781745294949
south 1987 1 -20.3532386363636 1.75233159705063 -8.60959588966775
north 1987 2 -14.1223694466095 1.40178958411372 -9.92602260841054
south 1987 2 -9.58596590909091 1.58276019112203 -16.5112228244105
north 1987 3 -9.29392049883086 0.711359018766916 -7.6540252184899
south 1987 3 -7.19090909090909 0.603671985982268 -8.39493280127048
north 1987 4 -1.50420888542479 1.32654327515427 -88.1887673984627
south 1987 4 1.36289772727273 0.822490574806648 60.3486643456747
north 1987 5 5.42026500389712 1.12581851308901 20.7705437331856
south 1987 5 7.31857954545455 0.609850189370826 8.33290374973917
