region peat_type year emission_factor_weighted
north 7 2006 1.55431415564111
north 1 2007 -0.128265137653256
north 2 2007 0.0196574080970944
north 4 2007 0.794012483797994
north 6 2007 1.2383620093039
north 7 2007 1.50817905376203
north 1 2008 -0.112842839598938
north 2 2008 0.0329232413182319
north 4 2008 0.807915297263092
north 6 2008 1.2558657816113
north 7 2008 1.51687206963401
north 1 2009 -0.173626404084222
north 2 2009 -0.0300226961230416
north 4 2009 0.745608085217118
north 6 2009 1.19716939404829
north 7 2009 1.44934078657686
north 1 2010 -0.167072811476434
north 2 2010 -0.025625568348504
north 4 2010 0.750642193235646
north 6 2010 1.20580446090925
north 7 2010 1.44916509700207
north 1 2011 -0.218075471637469
north 2 2011 -0.078784693342659
north 4 2011 0.698120048485421
north 6 2011 1.15688327500124
north 7 2011 1.39143315465886
north 1 2012 -0.239358879565509
north 2 2012 -0.109938269357649
north 4 2012 0.668554021711872
north 6 2012 1.13226264427701
north 7 2012 1.3691362829725
north 1 2013 -0.252161814828184
north 2 2013 -0.147946837540364
north 4 2013 0.634023827767926
north 6 2013 1.10535953199561
north 7 2013 1.36666057816043
north 1 2014 -0.255926743090524
north 2 2014 -0.176848530866064
north 4 2014 0.608591004925267
north 6 2014 1.08753295179238
north 7 2014 1.37319466386912
north 1 2015 -0.260009142847194
north 2 2015 -0.206067695690724
north 4 2015 0.582840710584276
north 6 2015 1.06938890009223
north 7 2015 1.37941127808537
north 1 2016 -0.292058649582462
north 2 2016 -0.263253967494992
north 4 2016 0.529123309263818
north 6 2016 1.02327774141292
north 7 2016 1.35766078532344
south 1 1990 -0.933236811519913
south 2 1990 -0.847889928821963
south 4 1990 -0.0337122665460527
south 6 1990 0.484391585251208
south 7 1990 0.733540630691357
south 1 1991 -0.954202218058153
south 2 1991 -0.863177473052684
south 4 1991 -0.0589926532087435
south 6 1991 0.458674584940306
south 7 1991 0.722436034371856
south 1 1992 -0.941062973481142
south 2 1992 -0.844360366168152
south 4 1992 -0.0501683887561817
south 6 1992 0.467062235744649
south 7 1992 0.745436089167598
south 1 1993 -0.871056737103137
south 2 1993 -0.768660711695766
south 4 1993 0.0155110456342236
south 6 1993 0.532303860285094
south 7 1993 0.825330151682254
south 1 1994 -0.828934804503183
south 2 1994 -0.720860916788243
south 4 1994 0.0533179981096974
south 6 1994 0.569674199112347
south 7 1994 0.877312894501037
south 1 1995 -0.842078810814033
south 2 1995 -0.728327060791533
south 4 1995 0.0358590116743374
south 6 1995 0.551778599028788
south 7 1995 0.874029698408987
south 1 1996 -0.859587754866566
south 2 1996 -0.740158142542127
south 4 1996 0.0140350875015933
south 6 1996 0.529518061208254
south 7 1996 0.866381564565514
south 1 1997 -0.812405743585512
south 2 1997 -0.687282713167193
south 4 1997 0.0568902967954377
south 6 1997 0.571935460652178
south 7 1997 0.923451401982338
south 1 1998 -0.815876963469472
south 2 1998 -0.685076070744431
south 4 1998 0.0491040967876186
south 6 1998 0.563712646996209
south 7 1998 0.929840992315749
south 1 1999 -0.824809574518781
south 2 1999 -0.691107824394341
south 4 1999 0.0378389375039991
south 6 1999 0.549871688193549
south 7 1999 0.925544096428219
south 1 2000 -0.823166714373016
south 2 2000 -0.690304814378116
south 4 2000 0.0398196436503837
south 6 2000 0.546395048349674
south 7 2000 0.924784314561153
south 1 2001 -0.867175872932261
south 2 2001 -0.735156124026171
south 4 2001 -0.00385074330279123
south 6 2001 0.497252363773399
south 7 2001 0.878365931408209
south 1 2002 -0.860108247306909
south 2 2002 -0.728928348530329
south 4 2002 0.00355472832317094
south 6 2002 0.499200489409271
south 7 2002 0.883030915020811
south 1 2003 -0.875824916260967
south 2 2003 -0.745484867613928
south 4 2003 -0.0118240946302879
south 6 2003 0.478364320465532
south 7 2003 0.864911604053902
south 1 2004 -0.85196822433858
south 2 2004 -0.722468025821079
south 4 2004 0.0123704432927205
south 6 2004 0.497101512398241
south 7 2004 0.88636565396344
south 1 2005 -0.870875429139015
south 2 2005 -0.742217381710325
south 4 2005 -0.0061979899016249
south 6 2005 0.473060781580755
south 7 2005 0.865049224569305
south 1 2006 -0.96452499075046
south 2 2006 -0.83670679345131
south 4 2006 -0.0995097055124607
south 6 2006 0.37429171997963
south 7 2006 0.768997020945009
south 1 2007 -0.978795809571144
south 2 2007 -0.852406522245094
south 4 2007 -0.117174521319114
south 6 2007 0.355718182993156
south 7 2007 0.746840096602166
south 1 2008 -0.994731693807366
south 2 2008 -0.870850246360866
south 4 2008 -0.143339696186886
south 6 2008 0.336975609131694
south 7 2008 0.712974521566344
south 1 2009 -1.02601661029926
south 2 2009 -0.904649873527487
south 4 2009 -0.184881928768137
south 6 2009 0.302876313452823
south 7 2009 0.663710791827262
south 1 2010 -0.995924487495965
south 2 2010 -0.877065590604095
south 4 2010 -0.165019096597755
south 6 2010 0.330161746630485
south 7 2010 0.675873223828595
south 1 2011 -1.03038016868388
south 2 2011 -0.914029111672035
south 4 2011 -0.209704068419166
south 6 2011 0.292899375816785
south 7 2011 0.623487851837684
south 1 2012 -1.06716711998365
south 2 2012 -0.949078319919836
south 4 2012 -0.248247099179186
south 6 2012 0.255082114679424
south 7 2012 0.581418139176324
south 1 2013 -1.07767079006056
south 2 2013 -0.952052192531204
south 4 2013 -0.248961547573954
south 6 2013 0.245966753604657
south 7 2013 0.582856679129196
south 1 2014 -1.11197373591198
south 2 2014 -0.978845914130937
south 4 2014 -0.273502018246327
south 6 2014 0.213048323561983
south 7 2014 0.560463314323593
south 1 2015 -1.11916643202788
south 2 2015 -0.978529385997056
south 4 2015 -0.270932239185656
south 6 2015 0.207240143254484
south 7 2015 0.565180199250464
south 1 2016 -1.15145075010003
south 2 2016 -1.00330447982003
south 4 2016 -0.293454082082016
south 6 2016 0.176340340990624
south 7 2016 0.544805462220144
