region year peat_type above_ground_litter_total ground_vegetation_litter total_above_ground_litter
north 2010 6 0.456868137803503 1.27606724905045 1.73293538685395
north 2010 7 0.291543476948033 0.809072546682801 1.10061602363083
north 2011 1 1.08889848717693 0.746856093763499 1.83575458094043
north 2011 2 0.898877232143189 0.734871166440718 1.63374839858391
north 2011 4 0.699119254063764 0.970600046969744 1.66971930103351
north 2011 6 0.458284016722147 1.27201324388264 1.73029726060478
north 2011 7 0.310606892969721 0.802041997978063 1.11264889094778
north 2012 1 1.04594587109968 0.749570259433461 1.79551613053314
north 2012 2 0.895526453260918 0.726388614418402 1.62191506767932
north 2012 4 0.706486562776218 0.963703839904653 1.67019040268087
north 2012 6 0.45655285623446 1.2687405879547 1.72529344418916
north 2012 7 0.292656364958889 0.803098666523164 1.09575503148205
north 2013 1 1.00299325502243 0.752284425103425 1.75527768012585
north 2013 2 0.892175674378643 0.717906062396087 1.61008173677473
north 2013 4 0.713853871488671 0.956807632839562 1.67066150432823
north 2013 6 0.454821695746772 1.26546793202676 1.72028962777353
north 2013 7 0.274705836948055 0.804155335068265 1.07886117201632
north 2014 1 0.960040638945176 0.754998590773386 1.71503922971856
north 2014 2 0.888824895496373 0.709423510373773 1.59824840587015
north 2014 4 0.721221180201125 0.949911425774471 1.6711326059756
north 2014 6 0.453090535259086 1.26219527609882 1.7152858113579
north 2014 7 0.256755308937223 0.805212003613365 1.06196731255059
north 2015 1 0.917088022867926 0.75771275644335 1.67480077931128
north 2015 2 0.885474116614099 0.700940958351456 1.58641507496556
north 2015 4 0.728588488913577 0.94301521870938 1.67160370762296
north 2015 6 0.4513593747714 1.25892262017087 1.71028199494227
north 2015 7 0.23880478092639 0.806268672158466 1.04507345308486
north 2016 1 0.874135406790672 0.760426922113312 1.63456232890398
north 2016 2 0.882123337731829 0.692458406329142 1.57458174406097
north 2016 4 0.735955797626032 0.936119011644292 1.67207480927032
north 2016 6 0.449628214283711 1.25564996424293 1.70527817852664
north 2016 7 0.220854252915558 0.807325340703567 1.02817959361912
north 2017 1 0.860154581196046 0.762878556814817 1.62303313801086
north 2017 2 0.873025666835944 0.700510390384564 1.57353605722051
north 2017 4 0.738834571311663 0.936459793237952 1.67529436454962
north 2017 6 0.455203108637199 1.25495920226549 1.71016231090269
north 2017 7 0.226879577824333 0.804465756047925 1.03134533387226
north 2018 1 0.846173755601419 0.765330191516319 1.61150394711774
north 2018 2 0.863927995940061 0.708562374439983 1.57249037038004
north 2018 4 0.741713344997296 0.936800574831612 1.67851391982891
north 2018 6 0.460778002990687 1.25426844028805 1.71504644327874
north 2018 7 0.232904902733107 0.801606171392283 1.03451107412539
north 2019 1 0.832192930006792 0.767781826217824 1.59997475622462
north 2019 2 0.854830325044177 0.716614358495405 1.57144468353958
north 2019 4 0.744592118682929 0.937141356425273 1.6817334751082
north 2019 6 0.466352897344174 1.25357767831061 1.71993057565479
north 2019 7 0.238930227641882 0.798746586736642 1.03767681437852
north 2020 1 0.818212104412169 0.770233460919326 1.5884455653315
north 2020 2 0.845732654148294 0.724666342550825 1.57039899669912
north 2020 4 0.74747089236856 0.937482138018934 1.68495303038749
north 2020 6 0.471927791697661 1.25288691633318 1.72481470803084
north 2020 7 0.244955552550656 0.795887002081 1.04084255463166
north 2021 1 0.818212104412169 0.770233460919326 1.5884455653315
north 2021 2 0.845732654148294 0.724666342550825 1.57039899669912
north 2021 4 0.74747089236856 0.937482138018934 1.68495303038749
north 2021 6 0.471927791697661 1.25288691633318 1.72481470803084
north 2021 7 0.244955552550656 0.795887002081 1.04084255463166
south 1990 1 1.02084878139256 0.741878326819905 1.76272710821247
south 1990 2 0.984545706460728 0.707974318043431 1.69252002450416
south 1990 4 0.756938445744615 0.973912655950097 1.73085110169471
south 1990 6 0.446180545767807 1.30335977735544 1.74954032312325
south 1990 7 0.279397458805713 0.825642938187262 1.10504039699297
south 1991 1 1.02869319253007 0.738320676503616 1.76701386903369
south 1991 2 0.990065630627832 0.706729994993513 1.69679562562134
south 1991 4 0.766911041777278 0.967590343519379 1.73450138529666
south 1991 6 0.453964548282288 1.29796753685564 1.75193208513793
south 1991 7 0.272110363547376 0.826893532344097 1.09900389589147
south 1992 1 1.03653760366758 0.734763026187327 1.77130062985491
south 1992 2 0.995585554794933 0.705485671943596 1.70107122673853
south 1992 4 0.776883637809938 0.961268031088661 1.7381516688986
south 1992 6 0.461748550796768 1.29257529635584 1.75432384715261
south 1992 7 0.264823268289037 0.828144126500933 1.09296739478997
south 1993 1 1.04438201480509 0.731205375871039 1.77558739067613
south 1993 2 1.00110547896203 0.704241348893677 1.70534682785571
south 1993 4 0.786856233842599 0.954945718657943 1.74180195250054
south 1993 6 0.469532553311249 1.28718305585605 1.7567156091673
south 1993 7 0.2575361730307 0.829394720657768 1.08693089368847
south 1994 1 1.0522264259426 0.72764772555475 1.77987415149735
south 1994 2 1.00662540312914 0.702997025843761 1.7096224289729
south 1994 4 0.796828829875259 0.948623406227225 1.74545223610248
south 1994 6 0.477316555825731 1.28179081535625 1.75910737118198
south 1994 7 0.25024907777236 0.830645314814604 1.08089439258696
south 1995 1 1.06007083708012 0.724090075238461 1.78416091231858
south 1995 2 1.01214532729624 0.701752702793842 1.71389803009008
south 1995 4 0.80680142590792 0.942301093796506 1.74910251970443
south 1995 6 0.48510055834021 1.27639857485645 1.76149913319666
south 1995 7 0.242961982514024 0.831895908971439 1.07485789148546
south 1996 1 1.06791524821763 0.720532424922172 1.7884476731398
south 1996 2 1.01766525146334 0.700508379743926 1.71817363120727
south 1996 4 0.816774021940582 0.935978781365788 1.75275280330637
south 1996 6 0.492884560854691 1.27100633435666 1.76389089521135
south 1996 7 0.235674887255684 0.833146503128275 1.06882139038396
south 1997 1 1.07575965935514 0.716974774605883 1.79273443396102
south 1997 2 1.02318517563044 0.699264056694007 1.72244923232445
south 1997 4 0.826746617973242 0.92965646893507 1.75640308690831
south 1997 6 0.500668563369171 1.26561409385686 1.76628265722603
south 1997 7 0.228387791997347 0.834397097285111 1.06278488928246
south 1998 1 1.08360407049265 0.713417124289595 1.79702119478224
south 1998 2 1.02870509979754 0.698019733644091 1.72672483344163
south 1998 4 0.836719214005903 0.923334156504351 1.76005337051025
south 1998 6 0.508452565883652 1.26022185335706 1.76867441924072
south 1998 7 0.221100696739008 0.835647691441946 1.05674838818095
south 1999 1 1.09157381875508 0.711694899780711 1.80326871853579
south 1999 2 1.03314363330439 0.695712253950085 1.72885588725447
south 1999 4 0.843067725007963 0.920052622892968 1.76312034790093
south 1999 6 0.516903599847273 1.25511136291143 1.7720149627587
south 1999 7 0.232307501022149 0.833287489279266 1.06559499030142
south 2000 1 1.09954356701751 0.709972675271827 1.80951624228933
south 2000 2 1.03758216681124 0.693404774256078 1.73098694106731
south 2000 4 0.849416236010025 0.916771089281585 1.76618732529161
south 2000 6 0.525354633810895 1.2500008724658 1.77535550627669
south 2000 7 0.243514305305289 0.830927287116586 1.07444159242188
south 2001 1 1.10751331527994 0.708250450762941 1.81576376604288
south 2001 2 1.04202070031808 0.691097294562075 1.73311799488016
south 2001 4 0.855764747012084 0.913489555670199 1.76925430268228
south 2001 6 0.533805667774516 1.24489038202016 1.77869604979468
south 2001 7 0.25472110958843 0.828567084953906 1.08328819454234
south 2002 1 1.11548306354236 0.706528226254057 1.82201128979642
south 2002 2 1.04645923382492 0.688789814868069 1.73524904869299
south 2002 4 0.862113258014144 0.910208022058816 1.77232128007296
south 2002 6 0.542256701738138 1.23977989157453 1.78203659331267
south 2002 7 0.26592791387157 0.826206882791226 1.0921347966628
south 2003 1 1.1234528118048 0.704806001745173 1.82825881354997
south 2003 2 1.05089776733177 0.686482335174065 1.73738010250583
south 2003 4 0.868461769016206 0.906926488447433 1.77538825746364
south 2003 6 0.550707735701759 1.2346694011289 1.78537713683066
south 2003 7 0.277134718154711 0.823846680628546 1.10098139878326
south 2004 1 1.13142256006722 0.703083777236289 1.83450633730351
south 2004 2 1.05533630083861 0.684174855480059 1.73951115631867
south 2004 4 0.874810280018265 0.903644954836049 1.77845523485431
south 2004 6 0.55915876966538 1.22955891068326 1.78871768034864
south 2004 7 0.288341522437851 0.821486478465866 1.10982800090372
south 2005 1 1.13939230832965 0.701361552727405 1.84075386105706
south 2005 2 1.05977483434546 0.681867375786052 1.74164221013151
south 2005 4 0.881158791020325 0.900363421224664 1.78152221224499
south 2005 6 0.567609803629002 1.22444842023763 1.79205822386663
south 2005 7 0.299548326720992 0.819126276303186 1.11867460302418
south 2006 1 1.14736205659208 0.699639328218519 1.8470013848106
south 2006 2 1.0642133678523 0.679559896092048 1.74377326394435
south 2006 4 0.887507302022387 0.89708188761328 1.78458918963567
south 2006 6 0.576060837592624 1.219337929792 1.79539876738462
south 2006 7 0.310755131004132 0.816766074140506 1.12752120514464
south 2007 1 1.15370397143187 0.698482095211949 1.85218606664382
south 2007 2 1.06364498624893 0.678112580143429 1.74175756639236
south 2007 4 0.890950045764964 0.892490671635317 1.78344071740028
south 2007 6 0.577416388570083 1.21628412992496 1.79370051849504
south 2007 7 0.31776014381038 0.808518863461168 1.12627900727155
south 2008 1 1.16004588627165 0.697324862205377 1.85737074847703
south 2008 2 1.06307660464555 0.676665264194808 1.73974186884036
south 2008 4 0.894392789507545 0.887899455657354 1.7822922451649
south 2008 6 0.578771939547542 1.21323033005792 1.79200226960546
south 2008 7 0.324765156616628 0.80027165278183 1.12503680939846
south 2009 1 1.16638780111144 0.696167629198805 1.86255543031024
south 2009 2 1.06250822304217 0.675217948246189 1.73772617128836
south 2009 4 0.897835533250125 0.88330823967939 1.78114377292952
south 2009 6 0.580127490524999 1.21017653019087 1.79030402071587
south 2009 7 0.331770169422877 0.792024442102493 1.12379461152537
south 2010 1 1.17272971595123 0.695010396192233 1.86774011214346
south 2010 2 1.0619398414388 0.673770632297569 1.73571047373637
south 2010 4 0.901278276992702 0.878717023701429 1.77999530069413
south 2010 6 0.581483041502459 1.20712273032383 1.78860577182629
south 2010 7 0.338775182229123 0.783777231423155 1.12255241365228
south 2011 1 1.17907163079101 0.693853163185661 1.87292479397668
south 2011 2 1.06137145983542 0.672323316348948 1.73369477618437
south 2011 4 0.904721020735283 0.874125807723466 1.77884682845875
south 2011 6 0.582838592479919 1.20406893045679 1.78690752293671
south 2011 7 0.345780195035371 0.775530020743817 1.12131021577919
south 2012 1 1.15562171692887 0.68965171622585 1.84527343315472
south 2012 2 1.03923096401176 0.672191802559916 1.71142276657168
south 2012 4 0.890512221974376 0.874752106221431 1.76526432819581
south 2012 6 0.578174715728755 1.20139622012396 1.77957093585272
south 2012 7 0.337755239368911 0.775220614495131 1.11297585386404
south 2013 1 1.13217180306674 0.685450269266041 1.81762207233278
south 2013 2 1.0170904681881 0.67206028877088 1.68915075695898
south 2013 4 0.876303423213472 0.875378404719398 1.75168182793287
south 2013 6 0.573510838977592 1.19872350979113 1.77223434876872
south 2013 7 0.32973028370245 0.774911208246446 1.1046414919489
south 2014 1 1.1087218892046 0.68124882230623 1.78997071151083
south 2014 2 0.994949972364447 0.671928774981845 1.66687874734629
south 2014 4 0.862094624452566 0.876004703217365 1.73809932766993
south 2014 6 0.568846962226429 1.1960507994583 1.76489776168473
south 2014 7 0.321705328035989 0.77460180199776 1.09630713003375
south 2015 1 1.08527197534245 0.677047375346419 1.76231935068887
south 2015 2 0.972809476540788 0.67179726119281 1.6446067377336
south 2015 4 0.84788582569166 0.87663100171533 1.72451682740699
south 2015 6 0.564183085475266 1.19337808912547 1.75756117460073
south 2015 7 0.313680372369528 0.774292395749075 1.0879727681186
south 2016 1 1.06182206148032 0.672845928386608 1.73466798986692
south 2016 2 0.950668980717132 0.671665747403777 1.62233472812091
south 2016 4 0.833677026930755 0.877257300213297 1.71093432714405
south 2016 6 0.559519208724102 1.19070537879264 1.75022458751674
south 2016 7 0.305655416703068 0.773982989500389 1.07963840620346
south 2017 1 1.08485836130008 0.665647385171061 1.75050574647114
south 2017 2 0.943289533215549 0.675369136022549 1.6186586692381
south 2017 4 0.838736326679021 0.879178338996513 1.71791466567553
south 2017 6 0.567234600423594 1.18983730354657 1.75707190397016
south 2017 7 0.308759676028615 0.771355942988711 1.08011561901733
south 2018 1 1.10789466111984 0.658448841955513 1.76634350307535
south 2018 2 0.935910085713967 0.679072524641323 1.61498261035529
south 2018 4 0.843795626427287 0.881099377779727 1.72489500420701
south 2018 6 0.574949992123086 1.1889692283005 1.76391922042359
south 2018 7 0.311863935354163 0.768728896477032 1.0805928318312
south 2019 1 1.13093096093959 0.651250298739964 1.78218125967955
south 2019 2 0.928530638212386 0.682775913260097 1.61130655147248
south 2019 4 0.848854926175553 0.883020416562943 1.7318753427385
south 2019 6 0.582665383822577 1.18810115305443 1.77076653687701
south 2019 7 0.314968194679709 0.766101849965353 1.08107004464506
south 2020 1 1.15396726075935 0.644051755524417 1.79801901628377
south 2020 2 0.921151190710803 0.686479301878871 1.60763049258967
south 2020 4 0.853914225923818 0.884941455346159 1.73885568126998
south 2020 6 0.590380775522069 1.18723307780836 1.77761385333043
south 2020 7 0.318072454005257 0.763474803453674 1.08154725745893
south 2021 1 1.15396726075935 0.644051755524417 1.79801901628377
south 2021 2 0.921151190710803 0.686479301878871 1.60763049258967
south 2021 4 0.853914225923818 0.884941455346159 1.73885568126998
south 2021 6 0.590380775522069 1.18723307780836 1.77761385333043
south 2021 7 0.318072454005257 0.763474803453674 1.08154725745893
