mainregion peat_type year roll_T
north 4 2019 9.8683567635114
north 4 2020 9.92199677184213
north 4 2021 9.97641596376132
north 6 1990 9.29503615229727
north 6 1991 9.24335255354201
north 6 1992 9.25256955885045
north 6 1993 9.16762355848435
north 6 1994 9.15751464396851
north 6 1995 9.18843446824089
north 6 1996 9.19318094453597
north 6 1997 9.18331502837269
north 6 1998 9.23820336811276
north 6 1999 9.26106489108548
north 6 2000 9.27870858502654
north 6 2001 9.33384221123925
north 6 2002 9.3233324180853
north 6 2003 9.36640032948929
north 6 2004 9.36441698700348
north 6 2005 9.41378958447739
north 6 2006 9.51134221123925
north 6 2007 9.57932500457624
north 6 2008 9.5872670693758
north 6 2009 9.59999816950394
north 6 2010 9.63040453963024
north 6 2011 9.69840518030386
north 6 2012 9.73253249130514
north 6 2013 9.78005308438587
north 6 2014 9.78998398315944
north 6 2015 9.80283909939594
north 6 2016 9.84976523887974
north 6 2017 9.84545670876807
north 6 2018 9.87883214351089
north 6 2019 9.85950164744646
north 6 2020 9.91280798096284
north 6 2021 9.96735539081091
north 7 1990 9.71842377260982
north 7 1991 9.67046511627907
north 7 1992 9.68011627906977
north 7 1993 9.59760981912145
north 7 1994 9.58904392764858
north 7 1995 9.62193798449612
north 7 1996 9.62149870801034
north 7 1997 9.60918604651163
north 7 1998 9.65421188630491
north 7 1999 9.6725322997416
north 7 2000 9.69209302325581
north 7 2001 9.74779069767442
north 7 2002 9.73848837209303
north 7 2003 9.7799354005168
north 7 2004 9.78341085271318
north 7 2005 9.83052971576227
north 7 2006 9.93932816537468
north 7 2007 10.0082687338501
north 7 2008 10.0178682170543
north 7 2009 10.0292506459948
north 7 2010 10.0637338501292
north 7 2011 10.132015503876
north 7 2012 10.1662532299742
north 7 2013 10.2116149870801
north 7 2014 10.2192894056848
north 7 2015 10.2305426356589
north 7 2016 10.2685271317829
north 7 2017 10.2676356589147
north 7 2018 10.3029974160207
north 7 2019 10.2879715762274
north 7 2020 10.3366666666667
north 7 2021 10.3904651162791
south 1 1990 10.9793394164053
south 1 1991 10.9465312232678
south 1 1992 10.9735909134113
south 1 1993 10.8934915882521
south 1 1994 10.8904262902766
south 1 1995 10.9321480847828
south 1 1996 10.9260569337515
south 1 1997 10.9178381332573
south 1 1998 10.9436783575706
south 1 1999 10.9699125558407
south 1 2000 10.980375914837
south 1 2001 11.0309385989925
south 1 2002 11.0197224598422
south 1 2003 11.0440723315274
south 1 2004 11.0545618287235
south 1 2005 11.0759542819124
south 1 2006 11.1892068244463
south 1 2007 11.2476969869784
south 1 2008 11.2692343883661
south 1 2009 11.2776632449387
south 1 2010 11.3209214903526
south 1 2011 11.381746031746
south 1 2012 11.4167027849064
south 1 2013 11.4555588822355
south 1 2014 11.4708117099135
south 1 2015 11.4804310426766
south 1 2016 11.5188185533695
south 1 2017 11.5356344453949
south 1 2018 11.5784307575326
south 1 2019 11.5687101986503
south 1 2020 11.6276803535786
south 1 2021 11.6919755726642
south 2 1990 10.8286935897436
south 2 1991 10.7940519230769
south 2 1992 10.8197752136752
south 2 1993 10.7393536324786
south 2 1994 10.7355034188034
south 2 1995 10.776027991453
south 2 1996 10.7701568376068
south 2 1997 10.7618570512821
south 2 1998 10.7891974358974
south 2 1999 10.8141352564103
south 2 2000 10.8245269230769
south 2 2001 10.8748861111111
south 2 2002 10.863410042735
south 2 2003 10.8891
south 2 2004 10.8985258547009
south 2 2005 10.9214198717949
south 2 2006 11.034019017094
south 2 2007 11.0920459401709
south 2 2008 11.1118534188034
south 2 2009 11.1196012820513
south 2 2010 11.1613707264957
south 2 2011 11.2216348290598
south 2 2012 11.256541025641
south 2 2013 11.2958158119658
south 2 2014 11.3098882478632
south 2 2015 11.3191803418803
south 2 2016 11.356836965812
south 2 2017 11.3722198717949
south 2 2018 11.4145636752137
south 2 2019 11.4042623931624
south 2 2020 11.4627788461538
south 2 2021 11.5265143162393
south 4 1990 10.6027002023706
south 4 1991 10.5660809964344
south 4 1992 10.5890324756673
south 4 1993 10.5079423243712
south 4 1994 10.502717307507
south 4 1995 10.540527850053
south 4 1996 10.5342714657415
south 4 1997 10.5261347210176
south 4 1998 10.5552931964922
south 4 1999 10.5762763804568
south 4 2000 10.5864814011757
south 4 2001 10.6355897658283
south 4 2002 10.6233904307603
south 4 2003 10.651547412547
south 4 2004 10.6594490218753
south 4 2005 10.6845861038836
south 4 2006 10.7951127493495
south 4 2007 10.8511289389997
south 4 2008 10.866644743182
south 4 2009 10.8723776139539
south 4 2010 10.9105977161029
south 4 2011 10.9706815553628
south 4 2012 11.0044885323311
south 4 2013 11.0439211718223
south 4 2014 11.0560111303845
south 4 2015 11.0636780861521
south 4 2016 11.0989416498024
south 4 2017 11.1103604124506
south 4 2018 11.150881516816
south 4 2019 11.1393977064662
south 4 2020 11.1955502553725
south 4 2021 11.2578112652983
south 6 1990 10.5727425332461
south 6 1991 10.5363570961413
south 6 1992 10.5594033863818
south 6 1993 10.479418283555
south 6 1994 10.4741432308699
south 6 1995 10.5119489862655
south 6 1996 10.5054349247874
south 6 1997 10.4980034154495
south 6 1998 10.5271270256522
south 6 1999 10.5470478162924
south 6 2000 10.5568864908074
south 6 2001 10.6053175641305
south 6 2002 10.5934423370395
south 6 2003 10.6217367923843
south 6 2004 10.6293154567255
south 6 2005 10.6546221204854
south 6 2006 10.7643735920355
south 6 2007 10.8196515514861
south 6 2008 10.8346126734976
south 6 2009 10.8401947532883
south 6 2010 10.8773632003488
south 6 2011 10.9374482232396
south 6 2012 10.970479616307
south 6 2013 11.0100962866071
south 6 2014 11.0219591599448
south 6 2015 11.029418283555
south 6 2016 11.0641908291549
south 6 2017 11.075148608386
south 6 2018 11.1149705689993
south 6 2019 11.1035051958433
south 6 2020 11.1585538841654
south 6 2021 11.2195581716445
south 7 1990 10.489213836478
south 7 1991 10.4508805031447
south 7 1992 10.472180293501
south 7 1993 10.3934591194969
south 7 1994 10.3879874213836
south 7 1995 10.4233752620545
south 7 1996 10.4172222222222
south 7 1997 10.4118658280922
south 7 1998 10.4410587002096
south 7 1999 10.4581656184486
south 7 2000 10.4682285115304
south 7 2001 10.5162788259958
south 7 2002 10.5074109014675
south 7 2003 10.5389622641509
south 7 2004 10.5470859538784
south 7 2005 10.5739832285115
south 7 2006 10.6833752620545
south 7 2007 10.7388679245283
south 7 2008 10.7524842767296
south 7 2009 10.7575995807128
south 7 2010 10.7917295597484
south 7 2011 10.8527253668763
south 7 2012 10.8852830188679
south 7 2013 10.9260587002096
south 7 2014 10.9392452830189
south 7 2015 10.9465199161426
south 7 2016 10.9804088050314
south 7 2017 10.991677148847
south 7 2018 11.0325681341719
south 7 2019 11.023427672956
south 7 2020 11.0777777777778
south 7 2021 11.1395387840671
