region year tkg species component ddiff12 bm
1 2001 6 2 6 -5537.101358 0.0313246775029141
1 2001 6 2 2 -5537.101358 0.0364528409692568
1 2001 7 2 6 -5537.101358 0
1 2001 7 2 2 -5537.101358 0
1 2001 1 3 6 -5537.101358 2.36638072516739
1 2001 1 3 2 -5537.101358 3.91981164850548
1 2001 2 3 6 -5537.101358 1.78935465176507
1 2001 2 3 2 -5537.101358 2.74115232888632
1 2001 4 3 6 -5537.101358 1.04619552439218
1 2001 4 3 2 -5537.101358 1.4507920529045
1 2001 6 3 6 -5537.101358 0.27873274807515
1 2001 6 3 2 -5537.101358 0.324767279762299
1 2001 7 3 6 -5537.101358 0.0729852229450546
1 2001 7 3 2 -5537.101358 0.107402161210731
1 2001 1 1 7 -5537.101358 1.95031332019185
1 2001 1 1 3 -5537.101358 1.23972898809776
1 2001 2 1 7 -5537.101358 5.02378552821666
1 2001 2 1 3 -5537.101358 3.36118421022354
1 2001 4 1 7 -5537.101358 7.38291428623954
1 2001 4 1 3 -5537.101358 5.50349729795814
1 2001 6 1 7 -5537.101358 5.44319927602355
1 2001 6 1 3 -5537.101358 4.82760373377367
1 2001 7 1 7 -5537.101358 2.07593032705875
1 2001 7 1 3 -5537.101358 2.22186633364944
1 2001 1 2 7 -5537.101358 8.88001340963037
1 2001 1 2 3 -5537.101358 7.34555420670751
1 2001 2 2 7 -5537.101358 6.99585875945504
1 2001 2 2 3 -5537.101358 5.62581559529934
1 2001 4 2 7 -5537.101358 1.40422752734463
1 2001 4 2 3 -5537.101358 1.10203220674704
1 2001 6 2 7 -5537.101358 0.149714292389949
1 2001 6 2 3 -5537.101358 0.108344502502525
1 2001 7 2 7 -5537.101358 0
1 2001 7 2 3 -5537.101358 0
1 2001 1 3 7 -5537.101358 8.13620187452633
1 2001 1 3 3 -5537.101358 5.26121680238276
1 2001 2 3 7 -5537.101358 6.16649429752351
1 2001 2 3 3 -5537.101358 3.56626327703059
1 2001 4 3 7 -5537.101358 3.57779757615721
1 2001 4 3 3 -5537.101358 1.94367688750593
1 2001 6 3 7 -5537.101358 0.888351972136839
1 2001 6 3 3 -5537.101358 0.447235852763677
1 2001 7 3 7 -5537.101358 0.223810673032977
1 2001 7 3 3 -5537.101358 0.226776500689982
1 2001 1 1 8 -5537.101358 8.83087469633489
1 2001 1 1 4 -5537.101358 0.458660279868567
1 2001 2 1 8 -5537.101358 23.220958363229
1 2001 2 1 4 -5537.101358 1.32043306528947
1 2001 4 1 8 -5537.101358 35.2663122314159
1 2001 4 1 4 -5537.101358 2.3298796773562
1 2001 6 1 8 -5537.101358 26.463600170846
1 2001 6 1 4 -5537.101358 2.22813424761189
1 2001 7 1 8 -5537.101358 9.64015529038347
1 2001 7 1 4 -5537.101358 1.06710576328025
1 2001 1 2 8 -5537.101358 39.87705583023
1 2001 1 2 4 -5537.101358 5.17318841776991
1 2001 2 2 8 -5537.101358 30.219848222148
1 2001 2 2 4 -5537.101358 4.20601795629177
