region year sum_P avg_T ampli_T
2 2002 515.342960550373 1.52908376201994 15.4643937458564
2 2003 560.048008682994 2.10279093501645 18.1877537546538
2 2004 685.898924803724 2.15950401721867 13.3514121859052
2 2005 636.111060012384 2.96412553963088 13.3279091903503
2 2006 540.797080212663 2.33839587506191 14.7500222655525
2 2007 698.847990280881 2.61437665204595 15.6962030594728
2 2008 722.281898449998 2.64575551923681 10.2387893237439
2 2009 524.005166247398 1.89281239395676 12.6251244805834
2 2010 593.209599368356 0.548650280770867 17.2535464581719
2 2011 673.918947748247 3.12517422567559 17.4189533587636
2 2012 753.148294293469 1.22438916052451 14.5291927077604
2 2013 632.228893268061 2.956926638053 13.5195940733776
2 2014 603.35499037211 3.28811346046975 15.0823144461191
2 2015 813.363170402331 3.5862744408512 11.7659476737068
