region ipcc soil kptyy tkang ojlk apu X1990 X1991 X1992 X1993 X1994 X1995 X1996 X1997 X1998 X1999 X2000 X2001 X2002 X2003 X2004 X2005 X2006 X2007 X2008 X2009 X2010 X2011 X2012 X2013 X2014 X2015 X2016 X2017 X2018 X2019 X2020
3 1 2 3 3 1 331 148995 145835 142688 139515 136331 133125 129925 126661 123405 120116 116812 113487 106750 100019 93309 86610 79921 73267 67660 62063 56377 50717 51851 52990 54120 55249 56356 56321 56279 56240 56199
3 1 2 3 3 2 332 26202 30716 35243 39773 44310 48848 53398 57928 62462 66980 71482 75962 75545 75122 74703 74278 73845 73427 87774 102105 116359 130648 132798 134961 137101 139239 141325 141235 141130 141034 140929
3 1 2 3 5 1 351 0 0 0 0 0 0 0 0 0 0 0 0 1740 3477 5212 6945 8673 10400 8606 6816 5029 3246 2596 1947 1298 649 0 0 0 0 0
3 1 2 3 5 2 352 0 0 0 0 0 0 0 0 0 0 0 0 432 863 1294 1724 2153 2582 2646 2710 2775 2840 2272 1704 1135 568 0 0 0 0 0
3 1 2 4 4 1 441 347367 344091 340851 337562 334251 330894 327558 324069 320581 316994 313350 309622 299804 289965 280154 270340 260512 250749 220966 191263 161519 131865 129256 126662 124049 121436 118780 118707 118619 118536 118450
3 1 2 4 4 2 442 8702 17032 25381 33742 42118 50501 58902 67285 75679 84056 92417 100751 108319 115867 123412 130937 138439 145953 159684 173407 187092 200840 211164 221507 231809 242105 252303 252143 251957 251784 251597
3 1 2 4 5 1 451 183440 181711 180001 178264 176517 174744 172983 171141 169302 167408 165483 163515 166251 168966 171686 174388 177069 179775 171010 162281 153531 144848 135996 127159 118306 109456 100575 100511 100436 100367 100293
3 1 2 4 5 2 452 4599 8999 13408 17824 22247 26674 31111 35539 39972 44395 48811 53211 53220 53224 53231 53235 53235 53245 67341 81422 95472 109549 111582 113625 115649 117672 119649 119573 119485 119403 119314
3 1 2 4 6 1 461 0 0 0 0 0 0 0 0 0 0 0 0 1172 2343 3512 4679 5843 7007 7283 7559 7835 8115 7011 5909 4806 3704 2601 2599 2598 2596 2594
3 1 2 4 6 2 462 0 0 0 0 0 0 0 0 0 0 0 0 1172 2343 3512 4679 5843 7007 7588 8168 8748 9332 7551 5771 3991 2212 434 433 433 433 432
3 1 2 5 6 1 561 295648 291041 286460 281834 277188 272499 267825 263022 258234 253376 248482 243538 248237 252916 257615 262298 266961 271674 255900 240194 224321 208549 202572 196618 190633 184651 178606 178493 178361 178239 178107
3 1 2 5 6 2 562 10569 11885 13206 14527 15850 17173 18500 19819 21140 22454 23764 25066 30254 35432 40604 45764 50910 56055 69436 82803 96162 109549 117485 125430 133352 141270 149128 149033 148923 148821 148710
3 1 2 5 7 1 571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102 203 304 406 325 243 162 81 0 0 0 0 0
3 1 2 5 7 2 572 0 0 0 0 0 0 0 0 0 0 0 0 62 123 185 246 308 369 480 590 701 811 649 487 324 162 0 0 0 0 0
3 1 2 6 6 1 661 0 0 0 0 0 0 0 0 0 0 0 0 62 123 185 246 308 369 784 1199 1614 2029 2230 2432 2633 2835 3035 3033 3030 3028 3026
3 1 2 6 6 2 662 0 0 0 0 0 0 0 0 0 0 0 0 62 123 185 246 308 369 378 387 396 406 325 243 162 81 0 0 0 0 0
3 1 2 6 7 1 671 1094 1801 2509 3219 3930 4641 5354 6066 6778 7488 8196 8901 8523 8145 7767 7389 7011 6634 7104 7578 8048 8521 9680 10840 11998 13155 14306 14297 14286 14276 14266
3 1 2 6 7 2 672 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102 203 304 406 759 1111 1464 1816 2168 2166 2165 2163 2161
3 1 2 16 17 12 999 1335769 1342244 1348896 1355387 1361831 1368113 1374519 1380299 1386137 1391572 1396767 1401610 1406397 1411057 1415805 1420459 1424991 1429788 1419809 1410029 1399558 1389653 1387734 1385954 1383950 1381945 1379432 1378557 1377537 1376591 1375571
3 1 2 NA NA NA NA 1729853 1731665 1733692 1735501 1737237 1738757 1740423 1741291 1742213 1742612 1742699 1742337 1741810 1741121 1740537 1739834 1738981 1738448 1737871 1737516 1736489 1736153 1735804 1735628 1735170 1734710 1733610 1732511 1731229 1730040 1728758
4 1 1 NA NA NA NA 4823277 4823250 4823223 4823167 4823253 4823482 4823410 4823036 4822744 4822213 4821443 4820877 4820220 4819289 4817746 4816216 4814524 4813303 4812249 4811984 4811482 4810832 4810025 4809225 4808267 4807309 4806836 4806520 4806362 4806362 4806362
4 1 2 0 0 0 0 886782 889376 891972 894569 897101 899567 902050 904551 907136 909775 912295 914698 905517 896243 886806 877169 867628 858421 857816 857297 857065 857089 857453 857812 858087 858362 858381 858381 858296 858296 858296
4 1 2 1 1 1 111 140254 139643 139032 138420 137797 137164 136533 135904 135283 134664 134022 133357 125946 118524 111082 103619 96173 88768 75630 62526 49360 36202 32127 28046 23958 19867 15766 15766 15764 15764 15764
4 1 2 1 1 2 112 34255 32925 31595 30263 28929 27592 26255 24919 23614 22341 21094 19874 24212 28575 32957 37355 41779 46245 48323 50371 52137 53918 52903 51886 50863 49839 48800 48800 48795 48795 48795
4 1 2 1 3 1 131 0 0 0 0 0 0 0 0 0 0 0 0 9954 19898 29827 39734 49628 59527 49636 39755 29889 20027 17380 14730 12076 9419 6757 6757 6756 6756 6756
4 1 2 1 3 2 132 0 0 0 0 0 0 0 0 0 0 0 0 124 249 373 497 620 744 558 372 186 0 0 0 0 0 0 0 0 0 0
4 1 2 3 2 1 321 74102 73252 72401 71550 70693 69831 68969 68109 67265 66436 65607 64780 59871 54972 50077 45188 40321 35487 33211 30936 28559 26189 22912 19631 16345 13056 9760 9760 9759 9759 9759
4 1 2 3 2 2 322 10575 10526 10477 10428 10378 10327 10277 10226 10180 10136 10094 10054 13086 16117 19145 22166 25187 28216 32913 37611 42291 46986 46455 45922 45385 44847 44295 44295 44291 44291 44291
4 1 2 3 3 1 331 93961 92883 91804 90725 89638 88545 87452 86361 85292 84238 83188 82139 78048 73963 69883 65806 61756 57746 56076 54409 52616 50837 46240 41637 37025 32408 27778 27778 27775 27775 27775
4 1 2 3 3 2 332 13403 13341 13279 13217 13153 13089 13025 12961 12903 12848 12795 12744 12834 12926 13019 13112 13210 13316 15393 17471 19516 21567 24758 27953 31149 34347 37538 37538 37534 37534 37534
4 1 2 3 5 1 351 0 0 0 0 0 0 0 0 0 0 0 0 2737 5472 8203 10927 13648 16370 14006 11645 9288 6932 5849 4764 3678 2590 1502 1502 1501 1501 1501
4 1 2 3 5 2 352 0 0 0 0 0 0 0 0 0 0 0 0 124 249 373 497 620 744 558 372 186 0 0 0 0 0 0 0 0 0 0
4 1 2 4 4 1 441 152008 154203 156396 158593 160782 162956 165134 167316 169519 171735 173935 176117 176176 176214 176222 176193 176185 176249 173742 171271 168799 166379 152666 138941 125182 111411 97597 97597 97591 97591 97591
4 1 2 4 4 2 442 3253 4206 5160 6114 7068 8022 8976 9931 10887 11844 12800 13755 18177 22593 27001 31395 35784 40181 50532 60882 71252 81648 88740 95839 102937 110042 117119 117119 117107 117107 117107
4 1 2 4 5 1 451 80276 81435 82595 83755 84910 86058 87209 88361 89524 90695 91858 93010 90407 87797 85175 82539 79918 77331 74161 71006 67845 64702 59137 53565 47982 42393 36787 36787 36784 36784 36784
4 1 2 4 5 2 452 1718 2221 2725 3229 3733 4236 4740 5245 5749 6255 6760 7264 6922 6580 6237 5892 5549 5209 8911 12611 16316 20027 31919 43825 55740 67666 79581 79581 79573 79573 79573
4 1 2 4 6 1 461 0 0 0 0 0 0 0 0 0 0 0 0 404 808 1212 1614 2016 2418 4508 6598 8689 10784 13129 15476 17825 20176 22523 22523 22521 22521 22521
4 1 2 4 6 2 462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 963 1925 2887 3851 3383 2913 2443 1973 1502 1502 1501 1501 1501
4 1 2 5 6 1 561 90014 86941 83856 80770 77676 74575 71475 68375 65286 62205 59121 56034 59576 63115 66644 70157 73677 77216 83338 89483 95563 101675 108967 116268 123565 130870 138140 138140 138126 138126 138126
4 1 2 5 6 2 562 1918 1984 2051 2117 2183 2249 2316 2382 2448 2515 2582 2648 2454 2261 2068 1874 1681 1488 4196 6903 9611 12324 19308 26300 33297 40301 47298 47298 47293 47293 47293
4 1 2 5 7 1 571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 193 385 577 770 916 1063 1209 1355 1502 1502 1501 1501 1501
4 1 2 6 6 1 661 0 0 0 0 0 0 0 0 0 0 0 0 249 497 746 993 1241 1488 1886 2283 2682 3081 2466 1851 1235 618 0 0 0 0 0
4 1 2 6 7 1 671 0 206 451 697 942 1188 1434 1679 1925 2172 2418 2664 2217 1771 1325 880 435 0 954 1925 2887 3851 3083 2314 1543 772 0 0 0 0 0
4 1 2 6 7 2 672 939 881 794 706 617 529 441 353 265 177 88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1 2 16 17 12 999 696676 694647 692616 690584 688499 686361 684236 682122 680140 678261 676362 674440 683518 692581 701569 710438 719428 728743 729688 730740 731136 731750 732338 732924 733437 733950 734245 734245 734172 734172 734172
4 1 2 NA NA NA NA 1583458 1584023 1584588 1585153 1585600 1585928 1586286 1586673 1587276 1588036 1588657 1589138 1589035 1588824 1588375 1587607 1587056 1587164 1587504 1588037 1588201 1588839 1589791 1590736 1591524 1592312 1592626 1592626 1592468 1592468 1592468
