region year peat_type litter_type ground litter_biomass mortality
north 2000 4 fine_woody_litter below 0.0521933838158184 alive
north 2000 4 non-woody_litter above 0.466099281173927 alive
north 2000 6 fine_woody_litter above 0.0571548483943283 alive
north 2000 6 fine_woody_litter below 0.0274872978242357 alive
north 2000 6 non-woody_litter above 0.27790425252404 alive
north 2000 7 fine_woody_litter above 0.0258766818705754 alive
north 2000 7 fine_woody_litter below 0.0113803474998595 alive
north 2000 7 non-woody_litter above 0.117314050876989 alive
north 2001 1 fine_woody_litter above 0.124651401084296 alive
north 2001 1 fine_woody_litter below 0.0867002082032192 alive
north 2001 1 non-woody_litter above 0.864140456445936 alive
north 2001 2 fine_woody_litter above 0.129884983435646 alive
north 2001 2 fine_woody_litter below 0.0844252899381576 alive
north 2001 2 non-woody_litter above 0.694993558531044 alive
north 2001 4 fine_woody_litter above 0.0976096695651647 alive
north 2001 4 fine_woody_litter below 0.0536137143049245 alive
north 2001 4 non-woody_litter above 0.473897246995126 alive
north 2001 6 fine_woody_litter above 0.0582071844499768 alive
north 2001 6 fine_woody_litter below 0.028083450055966 alive
north 2001 6 non-woody_litter above 0.283640591014877 alive
north 2001 7 fine_woody_litter above 0.0228482683101701 alive
north 2001 7 fine_woody_litter below 0.0102408521234468 alive
north 2001 7 non-woody_litter above 0.0995596854959327 alive
north 2002 1 fine_woody_litter above 0.126358976361929 alive
north 2002 1 fine_woody_litter below 0.0880779318881777 alive
north 2002 1 non-woody_litter above 0.86671644474327 alive
north 2002 2 fine_woody_litter above 0.133232432116282 alive
north 2002 2 fine_woody_litter below 0.086366454945914 alive
north 2002 2 non-woody_litter above 0.704930690468719 alive
north 2002 4 fine_woody_litter above 0.100008758693626 alive
north 2002 4 fine_woody_litter below 0.0550301641096342 alive
north 2002 4 non-woody_litter above 0.481673906898782 alive
north 2002 6 fine_woody_litter above 0.0592566452705006 alive
north 2002 6 fine_woody_litter below 0.0286779734564621 alive
north 2002 6 non-woody_litter above 0.289361256449726 alive
north 2002 7 fine_woody_litter above 0.0198281291037549 alive
north 2002 7 fine_woody_litter below 0.00910447012237946 alive
north 2002 7 non-woody_litter above 0.0818538293099062 alive
north 2003 1 fine_woody_litter above 0.12823514740071 alive
north 2003 1 fine_woody_litter below 0.0894847419512174 alive
north 2003 1 non-woody_litter above 0.869626708557438 alive
north 2003 2 fine_woody_litter above 0.136555208947359 alive
north 2003 2 fine_woody_litter below 0.0883025273296994 alive
north 2003 2 non-woody_litter above 0.715028736538646 alive
north 2003 4 fine_woody_litter above 0.102460848034429 alive
north 2003 4 fine_woody_litter below 0.0564125571795602 alive
north 2003 4 non-woody_litter above 0.489694568542702 alive
north 2003 6 fine_woody_litter above 0.0606498367290263 alive
north 2003 6 fine_woody_litter below 0.029434038068235 alive
north 2003 6 non-woody_litter above 0.296168535716891 alive
north 2003 7 fine_woody_litter above 0.0177102526101315 alive
north 2003 7 fine_woody_litter below 0.00832359455497488 alive
north 2003 7 non-woody_litter above 0.0691797158291515 alive
north 2004 1 fine_woody_litter above 0.131672499468856 alive
north 2004 1 fine_woody_litter below 0.0911608891632731 alive
north 2004 1 non-woody_litter above 0.875632332491756 alive
north 2004 2 fine_woody_litter above 0.139649526751208 alive
north 2004 2 fine_woody_litter below 0.0901914424899989 alive
north 2004 2 non-woody_litter above 0.72661683246921 alive
north 2004 4 fine_woody_litter above 0.105403714399797 alive
north 2004 4 fine_woody_litter below 0.0574795880603547 alive
north 2004 4 non-woody_litter above 0.499974663551338 alive
north 2004 6 fine_woody_litter above 0.0652259418484343 alive
north 2004 6 fine_woody_litter below 0.0316859592354543 alive
north 2004 6 non-woody_litter above 0.313037757762724 alive
north 2004 7 fine_woody_litter above 0.0239472447172934 alive
north 2004 7 fine_woody_litter below 0.0108346754187386 alive
north 2004 7 non-woody_litter above 0.10309907068042 alive
north 2005 1 fine_woody_litter above 0.135119268939891 alive
north 2005 1 fine_woody_litter below 0.0928416285594534 alive
north 2005 1 non-woody_litter above 0.88165441019021 alive
north 2005 2 fine_woody_litter above 0.142752322138049 alive
north 2005 2 fine_woody_litter below 0.0920855327603065 alive
north 2005 2 non-woody_litter above 0.738236676607678 alive
north 2005 4 fine_woody_litter above 0.108354643412708 alive
north 2005 4 fine_woody_litter below 0.0585495423134139 alive
north 2005 4 non-woody_litter above 0.510282923203722 alive
north 2005 6 fine_woody_litter above 0.0698145842420929 alive
north 2005 6 fine_woody_litter below 0.0339440500496831 alive
north 2005 6 non-woody_litter above 0.329953196855078 alive
north 2005 7 fine_woody_litter above 0.0302013244739969 alive
north 2005 7 fine_woody_litter below 0.0133526359560748 alive
north 2005 7 non-woody_litter above 0.137111355270643 alive
north 2006 1 fine_woody_litter above 0.138556621007979 alive
north 2006 1 fine_woody_litter below 0.0945177757714811 alive
north 2006 1 non-woody_litter above 0.887660034124427 alive
north 2006 2 fine_woody_litter above 0.145846639941846 alive
north 2006 2 fine_woody_litter below 0.0939744479205744 alive
north 2006 2 non-woody_litter above 0.749824772538048 alive
north 2006 4 fine_woody_litter above 0.111297509778026 alive
north 2006 4 fine_woody_litter below 0.0596165731941905 alive
north 2006 4 non-woody_litter above 0.520563018212185 alive
north 2006 6 fine_woody_litter above 0.074390689361424 alive
north 2006 6 fine_woody_litter below 0.0361959712168646 alive
north 2006 6 non-woody_litter above 0.346822418900628 alive
north 2006 7 fine_woody_litter above 0.036438316581054 alive
north 2006 7 fine_woody_litter below 0.0158637168197964 alive
north 2006 7 non-woody_litter above 0.171030710121342 alive
north 2007 1 fine_woody_litter above 0.141851431744301 alive
north 2007 1 fine_woody_litter below 0.0961655910942734 alive
north 2007 1 non-woody_litter above 0.894142827687517 alive
north 2007 2 fine_woody_litter above 0.148882455954787 alive
north 2007 2 fine_woody_litter below 0.0958323025199801 alive
north 2007 2 non-woody_litter above 0.759312904108774 alive
north 2007 4 fine_woody_litter above 0.114242101335754 alive
north 2007 4 fine_woody_litter below 0.0608358672708225 alive
north 2007 4 non-woody_litter above 0.530222456587372 alive
north 2007 6 fine_woody_litter above 0.07862644906302 alive
north 2007 6 fine_woody_litter below 0.0382832367847059 alive
north 2007 6 non-woody_litter above 0.361453696222832 alive
north 2007 7 fine_woody_litter above 0.042204829124963 alive
north 2007 7 fine_woody_litter below 0.0182891062515661 alive
north 2007 7 non-woody_litter above 0.202838348694169 alive
north 2008 1 fine_woody_litter above 0.144047192540701 alive
north 2008 1 fine_woody_litter below 0.0975949563671639 alive
north 2008 1 non-woody_litter above 0.904304787480151 alive
north 2008 2 fine_woody_litter above 0.151467200066566 alive
north 2008 2 fine_woody_litter below 0.0974506679341552 alive
north 2008 2 non-woody_litter above 0.752609481415123 alive
north 2008 4 fine_woody_litter above 0.117199994810664 alive
north 2008 4 fine_woody_litter below 0.0632291707016443 alive
north 2008 4 non-woody_litter above 0.535096387295064 alive
north 2008 6 fine_woody_litter above 0.0802380112302175 alive
north 2008 6 fine_woody_litter below 0.0391009426779157 alive
north 2008 6 non-woody_litter above 0.358829536206797 alive
north 2008 7 fine_woody_litter above 0.044343758498102 alive
north 2008 7 fine_woody_litter below 0.020053780914392 alive
north 2008 7 non-woody_litter above 0.218363821093105 alive
north 2009 1 fine_woody_litter above 0.146248969120098 alive
north 2009 1 fine_woody_litter below 0.0990282377092913 alive
north 2009 1 non-woody_litter above 0.91449458825849 alive
north 2009 2 fine_woody_litter above 0.154059025669056 alive
north 2009 2 fine_woody_litter below 0.0990734672261729 alive
north 2009 2 non-woody_litter above 0.745887693179868 alive
north 2009 4 fine_woody_litter above 0.120165992103305 alive
north 2009 4 fine_woody_litter below 0.0656290311281605 alive
north 2009 4 non-woody_litter above 0.539983671237559 alive
north 2009 6 fine_woody_litter above 0.0818539886362249 alive
north 2009 6 fine_woody_litter below 0.0399208888612416 alive
north 2009 6 non-woody_litter above 0.356198186711274 alive
north 2009 7 fine_woody_litter above 0.0464885479517096 alive
