region peat_type year basal_area
south 1 2019 20.454598069
south 2 1990 19.0050296040267
south 2 1991 19.0352106641438
south 2 1992 19.0653917242609
south 2 1993 19.0956554722125
south 2 1994 19.1258365323298
south 2 1995 19.1560175924472
south 2 1996 19.1861986525347
south 2 1997 19.2164624004836
south 2 1998 19.2466434605965
south 2 1999 19.3134651758481
south 2 2000 19.4296429344191
south 2 2001 19.546138988219
south 2 2002 19.6623167467863
south 2 2003 19.7784945053581
south 2 2004 19.8946722639298
south 2 2005 20.0111683177305
south 2 2006 20.1273460763023
south 2 2007 20.2333084797497
south 2 2008 20.3205603017624
south 2 2009 20.4080511698969
south 2 2010 20.4953029919211
south 2 2011 20.5825548139502
south 2 2012 20.6303621544831
south 2 2013 20.624532406373
south 2 2014 20.6187185865339
south 2 2015 20.6129047666963
south 2 2016 20.6070909468591
south 2 2017 20.6061495642674
south 2 2018 20.6061495642674
south 2 2019 20.6061495642674
south 4 1990 13.8129122701621
south 4 1991 14.0916715002287
south 4 1992 14.3704307302952
south 4 1993 14.6499536842661
south 4 1994 14.9287129143351
south 4 1995 15.2074721444042
south 4 1996 15.4862313741972
south 4 1997 15.7657543281431
south 4 1998 16.044513558171
south 4 1999 16.2415194931665
south 4 2000 16.3284013281019
south 4 2001 16.4155211954619
south 4 2002 16.5024030303946
south 4 2003 16.5892848653307
south 4 2004 16.6761667002667
south 4 2005 16.7632865676273
south 4 2006 16.8501684025633
south 4 2007 17.0050135675249
south 4 2008 17.2843412788908
south 4 2009 17.5644342717674
south 4 2010 17.8437619831701
south 4 2011 18.1230896945888
south 4 2012 18.2578080428885
south 4 2013 18.195773712276
south 4 2014 18.1339088743432
south 4 2015 18.0720440364262
south 4 2016 18.0101791985141
south 4 2017 18.0001619494276
south 4 2018 18.0001619494276
south 4 2019 18.0001619494276
south 6 1990 8.31960071482541
south 6 1991 8.60922098091715
south 6 1992 8.89884124700888
south 6 1993 9.18925499326741
south 6 1994 9.47887525936171
south 6 1995 9.76849552545601
south 6 1996 10.0581157912635
south 6 1997 10.3485295374961
south 6 1998 10.6381498035477
south 6 1999 10.8992303534446
south 6 2000 11.1218670637596
south 6 2001 11.3451137376644
south 6 2002 11.5677504479723
south 6 2003 11.7903871582888
south 6 2004 12.0130238686052
south 6 2005 12.2362705425116
south 6 2006 12.458907252828
south 6 2007 12.6363574222626
south 6 2008 12.7310433175513
south 6 2009 12.825988626289
south 6 2010 12.9206745215901
south 6 2011 13.0153604168968
south 6 2012 13.1320247944835
south 6 2013 13.2789683912341
south 6 2014 13.4255105028114
south 6 2015 13.5720526143513
south 6 2016 13.7185947258795
south 6 2017 13.7423230485
south 6 2018 13.7423230485
south 6 2019 13.7423230485
south 7 1990 5.03909528777505
south 7 1991 4.9652229172649
south 7 1992 4.89135054675475
south 7 1993 4.81727578619205
south 7 1994 4.74340341568124
south 7 1995 4.66953104517044
south 7 1996 4.59565867473278
south 7 1997 4.5215839141767
south 7 1998 4.44771154367678
south 7 1999 4.47137759319731
south 7 2000 4.62643077175071
south 7 2001 4.78190875353301
south 7 2002 4.93696193208151
south 7 2003 5.09201511063596
south 7 2004 5.2470682891904
south 7 2005 5.40254627097376
south 7 2006 5.5575994495282
south 7 2007 5.82418860792739
south 7 2008 6.29506856227946
south 7 2009 6.76723859888311
south 7 2010 7.23811855329716
south 7 2011 7.70899850773817
south 7 2012 7.93144526154378
south 7 2013 7.81585400686047
south 7 2014 7.70057857522728
south 7 2015 7.58530314362355
south 7 2016 7.47002771202896
south 7 2017 7.451362138
south 7 2018 7.451362138
south 7 2019 7.451362138
