region tkg species component year bm
1 7 2 6 1997 0.00274330873508648
1 7 2 7 1997 0.0124797804550354
1 7 3 1 1997 0.0984287120456958
1 7 3 2 1997 0.0215464220394231
1 7 3 3 1997 0.0482832784419115
1 7 3 4 1997 0.0334088486972531
1 7 3 5 1997 0.00269723346860258
1 7 3 6 1997 0.0145028363915811
1 7 3 7 1997 0.0480521732095356
2 1 1 1 1997 4.13603327692297
2 1 1 2 1997 0.467451311345171
2 1 1 3 1997 1.11348133551264
2 1 1 4 1997 0.481512316147685
2 1 1 5 1997 0.243528866186535
2 1 1 6 1997 0.455313888244114
2 1 1 7 1997 1.26713515207659
2 1 2 1 1997 5.56850350370935
2 1 2 2 1997 0.883200902192474
2 1 2 3 1997 2.72617839925066
2 1 2 4 1997 2.05574418657612
2 1 2 5 1997 0.277930841296324
2 1 2 6 1997 0.716619082039217
2 1 2 7 1997 2.98362924243829
2 1 3 1 1997 18.8620599000899
2 1 3 2 1997 3.7541989954461
2 1 3 3 1997 5.31334655732796
2 1 3 4 1997 1.83034508588773
2 1 3 5 1997 0.409157458462211
2 1 3 6 1997 2.41929589798824
2 1 3 7 1997 7.53780929090413
2 2 1 1 1997 8.82626873649853
2 2 1 2 1997 1.11122314108833
2 2 1 3 1997 2.31950903812014
2 2 1 4 1997 1.04398926351988
2 2 1 5 1997 0.505750310272861
2 2 1 6 1997 0.969757595791863
2 2 1 7 1997 2.63154010895974
2 2 2 1 1997 6.12890210886606
2 2 2 2 1997 0.920831325826118
2 2 2 3 1997 2.63954141929158
2 2 2 4 1997 2.01599070407791
2 2 2 5 1997 0.31567331671563
2 2 2 6 1997 0.725791588426404
2 2 2 7 1997 3.10379283328518
2 2 3 1 1997 11.0839826228037
2 2 3 2 1997 2.27727998939747
2 2 3 3 1997 3.12575406486295
2 2 3 4 1997 1.09508812576864
2 2 3 5 1997 0.217952419586283
2 2 3 6 1997 1.55371625035732
2 2 3 7 1997 4.89576850909257
2 4 1 1 1997 11.4080023750154
2 4 1 2 1997 1.69910008679117
2 4 1 3 1997 3.28776124027527
2 4 1 4 1997 1.56045701342241
