region peat_type year total_emission
north 6 1999 385.693881273756
north 6 2000 381.196861569945
north 6 2001 368.693549700108
north 6 2002 385.01794371315
north 6 2003 387.944542746781
north 6 2004 410.745812508399
north 6 2005 406.706689531708
north 6 2006 383.42587381624
north 6 2007 387.35221005766
north 6 2008 414.512806317087
north 6 2009 390.848664156426
north 6 2010 409.411110680519
north 6 2011 401.973569682499
north 6 2012 385.845446079479
north 6 2013 374.580181812797
north 6 2014 360.51402100061
north 6 2015 347.911208680937
north 6 2016 322.855239782533
north 7 1990 0.845480552015887
north 7 1991 1.43673567100443
north 7 1992 2.23473076932002
north 7 1993 3.29703770150596
north 7 1994 4.29717001153729
north 7 1995 5.08337771969622
north 7 1996 5.81811234334032
north 7 1997 6.91371781266729
north 7 1998 7.80097630612815
north 7 1999 8.77037172150035
north 7 2000 9.9274864883728
north 7 2001 10.7889513688543
north 7 2002 10.3515524931034
north 7 2003 9.53986119576769
north 7 2004 9.35587800401048
north 7 2005 8.47013515548441
north 7 2006 7.15586375293341
north 7 2007 6.597030519562
north 7 2008 8.68378979172118
north 7 2009 9.29108359994837
north 7 2010 11.1704604569405
north 7 2011 11.9141078490316
north 7 2012 11.4570772956656
north 7 2013 10.9125812901189
north 7 2014 10.5529297146927
north 7 2015 10.050048424836
north 7 2016 9.27381836867067
south 1 1990 -363.041136156259
south 1 1991 -382.217402380065
south 1 1992 -366.684663432346
south 1 1993 -334.761108101842
south 1 1994 -311.308702534643
south 1 1995 -314.467334732408
south 1 1996 -328.030384450331
south 1 1997 -302.708989054035
south 1 1998 -296.797015502581
south 1 1999 -314.164722788239
south 1 2000 -327.998117005365
south 1 2001 -356.584521270255
south 1 2002 -359.202779816144
south 1 2003 -373.369858574349
south 1 2004 -378.249054423407
south 1 2005 -394.8692302389
south 1 2006 -434.442668863401
south 1 2007 -416.134581267156
south 1 2008 -417.872273049789
south 1 2009 -454.033814487078
south 1 2010 -436.515997811528
south 1 2011 -462.450092115398
south 1 2012 -494.043350656119
south 1 2013 -490.552202375559
south 1 2014 -504.455395205985
south 1 2015 -504.700893553289
south 1 2016 -511.130301818457
south 2 1990 -941.496470924895
south 2 1991 -989.454560217692
south 2 1992 -968.716733845562
south 2 1993 -923.580105177119
south 2 1994 -884.745110212384
south 2 1995 -901.002828385179
south 2 1996 -934.091362617754
south 2 1997 -898.366562806192
south 2 1998 -892.515467276794
south 2 1999 -921.11259236865
south 2 2000 -950.138960259417
south 2 2001 -1005.34024294164
south 2 2002 -1010.89292017781
south 2 2003 -1030.23466744825
south 2 2004 -1036.55010282282
south 2 2005 -1070.77816082482
south 2 2006 -1148.82857971327
south 2 2007 -1119.69808963709
south 2 2008 -1091.7697042819
south 2 2009 -1126.8495735217
south 2 2010 -1067.5073990511
south 2 2011 -1076.05971264442
south 2 2012 -1116.17547055141
south 2 2013 -1098.04947164341
south 2 2014 -1112.93913169092
south 2 2015 -1103.03218982676
south 2 2016 -1103.61593551667
south 4 1990 197.075230654838
south 4 1991 150.917559551778
south 4 1992 177.044715358109
south 4 1993 234.351009626787
south 4 1994 279.464258388218
south 4 1995 268.024656999295
south 4 1996 233.663615903028
south 4 1997 279.185361517255
south 4 1998 287.033213651291
south 4 1999 247.928531230098
south 4 2000 211.124837064085
south 4 2001 144.116440482569
south 4 2002 129.017831136468
south 4 2003 99.4298197557966
south 4 2004 85.2176453397582
south 4 2005 41.0429497268625
south 4 2006 -45.9961155263655
south 4 2007 -9.14499702662442
south 4 2008 4.53670472437787
south 4 2009 -46.2471754245785
south 4 2010 9.60827845926794
south 4 2011 -11.7249781168165
south 4 2012 -59.7469600687675
south 4 2013 -42.885674137761
south 4 2014 -63.7999156842041
south 4 2015 -51.2213663091477
south 4 2016 -49.6556578248596
south 6 1990 -50.7520431425051
south 6 1991 -83.8697808207895
south 6 1992 -70.0120374300253
south 6 1993 -36.1536925838062
south 6 1994 -13.2953345839039
south 6 1995 -23.7444198943323
south 6 1996 -48.6960582715959
south 6 1997 -22.7520881348513
south 6 1998 -20.8039839242561
south 6 1999 -38.7732876293435
south 6 2000 -55.2745526178436
south 6 2001 -92.4589548668524
south 6 2002 -89.9884386888179
south 6 2003 -103.098267857727
south 6 2004 -103.283486477309
south 6 2005 -127.099851514492
south 6 2006 -176.939134003803
south 6 2007 -170.588228380559
south 6 2008 -166.181376560223
south 6 2009 -208.168555333317
south 6 2010 -181.950427701606
south 6 2011 -205.392090279553
south 6 2012 -233.276643735924
south 6 2013 -225.207365003228
south 6 2014 -237.996664123885
south 6 2015 -232.659690376742
south 6 2016 -234.425304760421
south 7 1990 -2.55714170510178
south 7 1991 -3.88113766061869
south 7 1992 -4.43985199485919
south 7 1993 -4.20313273215424
south 7 1994 -3.85377337116809
south 7 1995 -4.48368509549634
south 7 1996 -5.72105460743219
south 7 1997 -4.66250527551722
south 7 1998 -4.60127160597584
south 7 1999 -5.74657856626234
south 7 2000 -6.89221891742134
south 7 2001 -9.29748674399184
south 7 2002 -9.68367361002691
south 7 2003 -10.8488219191532
south 7 2004 -11.2432273447843
south 7 2005 -13.404843247027
south 7 2006 -17.2715241257056
south 7 2007 -17.3649376455548
south 7 2008 -16.8681220165026
south 7 2009 -19.3511960094757
south 7 2010 -17.1805991014474
south 7 2011 -18.3040528452706
south 7 2012 -20.0180574894689
south 7 2013 -19.3198548469272
south 7 2014 -20.0397090675404
south 7 2015 -19.5733049136328
south 7 2016 -19.5750076838316
