region peat_type year total_emission
north 4 2014 111.421119217952
north 4 2015 107.697841517368
north 4 2016 83.4879666978914
north 4 2017 87.0681942351033
north 4 2018 67.6036396702634
north 4 2019 80.2276423182885
north 4 2020 48.3184110113375
north 4 2021 15.2063446315677
north 6 1990 125.002685365543
north 6 1991 137.443391820029
north 6 1992 135.25627002472
north 6 1993 155.62384081478
north 6 1994 155.585874820815
north 6 1995 146.012137779526
north 6 1996 142.647095001716
north 6 1997 142.584648961946
north 6 1998 128.285314750253
north 6 1999 121.32568492593
north 6 2000 115.663203611994
north 6 2001 102.34476087105
north 6 2002 110.727940269525
north 6 2003 107.156669036752
north 6 2004 114.0236382515
north 6 2005 107.885482896308
north 6 2006 87.7567161119616
north 6 2007 73.1380507297916
north 6 2008 68.8367332299938
north 6 2009 62.8983273926075
north 6 2010 51.4961116965343
north 6 2011 28.0630376493355
north 6 2012 14.4184690235435
north 6 2013 -4.40251995342326
north 6 2014 -11.8400250286532
north 6 2015 -20.7332569139051
north 6 2016 -42.2569380092286
north 6 2017 -39.6945780376696
north 6 2018 -50.5242622470031
north 6 2019 -42.6082477023495
north 6 2020 -60.4812133162843
north 6 2021 -79.7930653899657
north 7 1990 -2.13684016104177
north 7 1991 -1.98501451299867
north 7 1992 -2.02035423987145
north 7 1993 -1.7515436627856
north 7 1994 -2.02388102035763
north 7 1995 -2.46115817444451
north 7 1996 -2.76815648117425
north 7 1997 -3.00536387120738
north 7 1998 -3.57635052593941
north 7 1999 -4.05843160503803
north 7 2000 -4.57783697019888
north 7 2001 -5.40650109433286
north 7 2002 -5.00050271333695
north 7 2003 -4.93195770380579
north 7 2004 -4.47674220695957
north 7 2005 -4.28720170824484
north 7 2006 -4.39668770791344
north 7 2007 -4.23801439588854
north 7 2008 -5.26400158949219
north 7 2009 -6.32735530433962
north 7 2010 -7.59540200668651
north 7 2011 -9.18975208150828
north 7 2012 -9.91643321907994
north 7 2013 -10.7195168765785
north 7 2014 -11.2320828121175
north 7 2015 -11.8070556209949
north 7 2016 -12.7605718392359
north 7 2017 -12.6551097198303
north 7 2018 -13.0758902857679
north 7 2019 -12.8824077634292
north 7 2020 -13.3729610291997
north 7 2021 -13.9766698319068
south 1 1990 -281.898476737174
south 1 1991 -267.437256370912
south 1 1992 -266.611857578786
south 1 1993 -242.912825271636
south 1 1994 -236.199271364437
south 1 1995 -238.883023530369
south 1 1996 -231.524662569039
south 1 1997 -223.893160526011
south 1 1998 -223.025125592942
south 1 1999 -227.910255490156
south 1 2000 -229.124647211989
south 1 2001 -238.670755526115
south 1 2002 -235.663519819273
south 1 2003 -240.156921730505
south 1 2004 -241.621486962619
south 1 2005 -245.389992923215
south 1 2006 -269.138046493752
south 1 2007 -282.140856857916
south 1 2008 -297.500604020022
south 1 2009 -310.083158297788
south 1 2010 -332.397154010513
south 1 2011 -360.080402423802
south 1 2012 -359.763928647147
south 1 2013 -366.535621671363
south 1 2014 -366.027526947811
south 1 2015 -362.905897646847
south 1 2016 -364.510847546454
south 1 2017 -363.842612411624
south 1 2018 -368.972732870466
south 1 2019 -363.166567668355
south 1 2020 -371.526991825224
south 1 2021 -385.662478318791
south 2 1990 -616.835658497822
south 2 1991 -618.586200357075
south 2 1992 -641.940666798146
south 2 1993 -624.482765004438
south 2 1994 -635.544494590927
south 2 1995 -664.432412264839
south 2 1996 -674.673790261414
south 2 1997 -683.470128347536
south 2 1998 -707.422037243304
south 2 1999 -719.000942761702
south 2 2000 -726.596265805489
south 2 2001 -751.923879568729
south 2 2002 -749.797220502739
south 2 2003 -764.121516521537
south 2 2004 -771.338595236152
south 2 2005 -784.592651338755
south 2 2006 -838.521522024788
south 2 2007 -869.055136648996
south 2 2008 -873.597706306574
south 2 2009 -872.113548974617
south 2 2010 -885.67044138684
south 2 2011 -907.030853574736
south 2 2012 -946.430964230936
south 2 2013 -995.459636721299
south 2 2014 -1034.20024507716
south 2 2015 -1071.26754767041
south 2 2016 -1122.31511057132
south 2 2017 -1135.04473528549
south 2 2018 -1160.80467388594
south 2 2019 -1161.6626697586
south 2 2020 -1195.27498185703
south 2 2021 -1225.28678332275
south 4 1990 264.768816042004
south 4 1991 289.437732698759
south 4 1992 280.118953157188
south 4 1993 329.046861022975
south 4 1994 335.018961843361
south 4 1995 317.068862963535
south 4 1996 323.402187701823
south 4 1997 330.627257625265
south 4 1998 317.54396013417
south 4 1999 304.431200273472
south 4 2000 295.081475188986
south 4 2001 266.052908859133
south 4 2002 268.585548680939
south 4 2003 250.96415253475
south 4 2004 243.6044989738
south 4 2005 228.228515482719
south 4 2006 173.812694886461
south 4 2007 145.24442682079
south 4 2008 137.527477364524
south 4 2009 134.147094357361
south 4 2010 115.783468475008
south 4 2011 87.1723959757637
south 4 2012 65.5779062066217
south 4 2013 36.2221197370264
south 4 2014 19.6749760124364
south 4 2015 5.3356232412228
south 4 2016 -21.0862004582469
south 4 2017 -22.3702708110707
south 4 2018 -36.6060476524706
south 4 2019 -27.6950291539348
south 4 2020 -48.8941096665632
south 4 2021 -76.5975072917343
south 6 1990 -124.892962037842
south 6 1991 -115.895706262847
south 6 1992 -124.544885927455
south 6 1993 -102.446001555299
south 6 1994 -102.598367744128
south 6 1995 -115.661438916233
south 6 1996 -115.464759390406
south 6 1997 -114.964750661214
south 6 1998 -125.416961538057
south 6 1999 -134.105070503444
south 6 2000 -139.685547801893
south 6 2001 -157.202986777299
south 6 2002 -156.161141726916
south 6 2003 -167.707629890329
south 6 2004 -172.797633073898
south 6 2005 -183.659070748419
