year;param;region;value;scenario
1995;lognat_CO2;south;-0.417349318909753;3
1995;lognat_CO2;total;-0.376882463305223;3
1995;final_CO2;north;-0.0326621144430744;3
1995;final_CO2;south;2.90701918812542;3
1995;final_CO2;total;2.87435707368235;3
1996;total_CO2;north;-0.0838804949625566;3
1996;total_CO2;south;3.32656231419792;3
1996;total_CO2;total;3.24268181923537;3
1996;lognat_CO2;north;0.0176029224807036;3
1996;lognat_CO2;south;-0.402237643170079;3
1996;lognat_CO2;total;-0.384634720689376;3
1996;final_CO2;north;-0.066277572481853;3
1996;final_CO2;south;2.92432467102784;3
1996;final_CO2;total;2.85804709854599;3
1997;total_CO2;north;-0.094514742584979;3
1997;total_CO2;south;3.32933790982362;3
1997;total_CO2;total;3.23482316723864;3
1997;lognat_CO2;north;-0.002708078005902;3
1997;lognat_CO2;south;-0.388154187003225;3
1997;lognat_CO2;total;-0.390862265009127;3
1997;final_CO2;north;-0.097222820590881;3
1997;final_CO2;south;2.9411837228204;3
1997;final_CO2;total;2.84396090222952;3
1998;total_CO2;north;-0.105032149332932;3
1998;total_CO2;south;3.33225601836085;3
1998;total_CO2;total;3.22722386902792;3
1998;lognat_CO2;north;-0.0205933247968257;3
1998;lognat_CO2;south;-0.37509127274193;3
1998;lognat_CO2;total;-0.395684597538756;3
1998;final_CO2;north;-0.125625474129757;3
1998;final_CO2;south;2.95716474561892;3
1998;final_CO2;total;2.83153927148916;3
1999;total_CO2;north;-0.115373173584036;3
1999;total_CO2;south;3.34817745088032;3
1999;total_CO2;total;3.23280427729628;3
1999;lognat_CO2;north;-0.0366423732604056;3
1999;lognat_CO2;south;-0.362750839460596;3
1999;lognat_CO2;total;-0.399393212721002;3
1999;final_CO2;north;-0.152015546844441;3
1999;final_CO2;south;2.98542661141972;3
1999;final_CO2;total;2.83341106457528;3
2000;total_CO2;north;-0.125602446091796;3
2000;total_CO2;south;3.36490517365039;3
2000;total_CO2;total;3.23930272755859;3
2000;lognat_CO2;north;-0.0509914917789542;3
2000;lognat_CO2;south;-0.351165342856139;3
2000;lognat_CO2;total;-0.402156834635093;3
2000;final_CO2;north;-0.176593937870751;3
2000;final_CO2;south;3.01373983079425;3
2000;final_CO2;total;2.8371458929235;3
2001;total_CO2;north;-0.135671009923357;3
2001;total_CO2;south;3.38099679089717;3
2001;total_CO2;total;3.24532578097381;3
2001;lognat_CO2;north;-0.0636995621708233;3
2001;lognat_CO2;south;-0.340635786879816;3
2001;lognat_CO2;total;-0.40433534905064;3
2001;final_CO2;north;-0.199370572094181;3
2001;final_CO2;south;3.04036100401735;3
2001;final_CO2;total;2.84099043192317;3
2002;total_CO2;north;-0.186965448205836;3
2002;total_CO2;south;3.39753036669295;3
2002;total_CO2;total;3.21056491848711;3
2002;lognat_CO2;north;-0.0755428850507215;3
2002;lognat_CO2;south;-0.330743853921675;3
2002;lognat_CO2;total;-0.406286738972397;3
2002;final_CO2;north;-0.262508333256558;3
2002;final_CO2;south;3.06678651277127;3
2002;final_CO2;total;2.80427817951471;3
2003;total_CO2;north;-0.238040978640959;3
2003;total_CO2;south;3.41448191378979;3
2003;total_CO2;total;3.17644093514883;3
2003;lognat_CO2;north;-0.0865290634697439;3
2003;lognat_CO2;south;-0.321714093872811;3
2003;lognat_CO2;total;-0.408243157342555;3
2003;final_CO2;north;-0.324570042110703;3
2003;final_CO2;south;3.09276781991698;3
2003;final_CO2;total;2.76819777780627;3
2004;total_CO2;north;-0.289004827759042;3
2004;total_CO2;south;3.43113912217299;3
2004;total_CO2;total;3.14213429441395;3
2004;lognat_CO2;north;-0.0965657868451843;3
2004;lognat_CO2;south;-0.313208055065241;3
2004;lognat_CO2;total;-0.409773841910425;3
2004;final_CO2;north;-0.385570614604226;3
2004;final_CO2;south;3.11793106710775;3
2004;final_CO2;total;2.73236045250353;3
2005;total_CO2;north;-0.33977915590036;3
2005;total_CO2;south;3.4480142241795;3
2005;total_CO2;total;3.10823506827913;3
2005;lognat_CO2;north;-0.105777139972644;3
2005;lognat_CO2;south;-0.305327969060572;3
2005;lognat_CO2;total;-0.411105109033216;3
2005;final_CO2;north;-0.445556295873004;3
2005;final_CO2;south;3.14268625511892;3
2005;final_CO2;total;2.69712995924592;3
2006;total_CO2;north;-0.390317610026786;3
2006;total_CO2;south;3.46577801851893;3
2006;total_CO2;total;3.07546040849215;3
2006;lognat_CO2;north;-0.114153980600379;3
2006;lognat_CO2;south;-0.298084479933373;3
2006;lognat_CO2;total;-0.412238460533752;3
2006;final_CO2;north;-0.504471590627165;3
2006;final_CO2;south;3.16769353858556;3
2006;final_CO2;total;2.66322194795839;3
2007;total_CO2;north;-0.440686107817179;3
2007;total_CO2;south;3.48249580489244;3
2007;total_CO2;total;3.04180969707526;3
2007;lognat_CO2;north;-0.121711773265557;3
2007;lognat_CO2;south;-0.291048005667306;3
2007;lognat_CO2;total;-0.412759778932863;3
2007;final_CO2;north;-0.562397881082736;3
2007;final_CO2;south;3.19144779922514;3
2007;final_CO2;total;2.6290499181424;3
2008;total_CO2;north;-0.471661830094622;3
2008;total_CO2;south;3.49231746360995;3
2008;total_CO2;total;3.02065563351533;3
2008;lognat_CO2;north;-0.127271125137949;3
2008;lognat_CO2;south;-0.285436196762885;3
2008;lognat_CO2;total;-0.412707321900834;3
2008;final_CO2;north;-0.598932955232571;3
2008;final_CO2;south;3.20688126684707;3
2008;final_CO2;total;2.60794831161449;3
2009;total_CO2;north;-0.502830576058752;3
2009;total_CO2;south;3.50108386943823;3
2009;total_CO2;total;2.99825329337948;3
2009;lognat_CO2;north;-0.132719952276032;3
2009;lognat_CO2;south;-0.279976706748021;3
2009;lognat_CO2;total;-0.412696659024053;3
2009;final_CO2;north;-0.635550528334784;3
2009;final_CO2;south;3.22110716269021;3
2009;final_CO2;total;2.58555663435542;3
2010;total_CO2;north;-0.535530539719963;3
2010;total_CO2;south;3.51962988628562;3
2010;total_CO2;total;2.98409934656565;3
2010;lognat_CO2;north;-0.136860990881908;3
2010;lognat_CO2;south;-0.275126620099411;3
2010;lognat_CO2;total;-0.411987610981319;3
2010;final_CO2;north;-0.672391530601871;3
2010;final_CO2;south;3.2445032661862;3
2010;final_CO2;total;2.57211173558433;3
2011;total_CO2;north;-0.568505832174461;3
2011;total_CO2;south;3.53791305481784;3
2011;total_CO2;total;2.96940722264338;3
2011;lognat_CO2;north;-0.140620149035109;3
2011;lognat_CO2;south;-0.270992648986932;3
2011;lognat_CO2;total;-0.411612798022041;3
2011;final_CO2;north;-0.70912598120957;3
2011;final_CO2;south;3.26692040583091;3
2011;final_CO2;total;2.55779442462134;3
2012;total_CO2;north;-0.617071175520183;3
2012;total_CO2;south;3.53706603600604;3
2012;total_CO2;total;2.91999486048586;3
2012;lognat_CO2;north;-0.144418720515161;3
2012;lognat_CO2;south;-0.264845265587062;3
2012;lognat_CO2;total;-0.409263986102224;3
2012;final_CO2;north;-0.761489896035344;3
2012;final_CO2;south;3.27222077041898;3
2012;final_CO2;total;2.51073087438364;3
2013;total_CO2;north;-0.665751513325491;3
2013;total_CO2;south;3.53336776433248;3
2013;total_CO2;total;2.86761625100699;3
2013;lognat_CO2;north;-0.147911226457467;3
2013;lognat_CO2;south;-0.2592837075897;3
2013;lognat_CO2;total;-0.407194934047167;3
2013;final_CO2;north;-0.813662739782958;3
2013;final_CO2;south;3.27408405674278;3
2013;final_CO2;total;2.46042131695983;3
2014;total_CO2;north;-0.714389843670472;3
2014;total_CO2;south;3.52960405525341;3
2014;total_CO2;total;2.81521421158294;3
2014;lognat_CO2;north;-0.151145558631602;3
2014;lognat_CO2;south;-0.254012328919621;3
2014;lognat_CO2;total;-0.405157887551224;3
2014;final_CO2;north;-0.865535402302075;3
2014;final_CO2;south;3.27559172633379;3
2014;final_CO2;total;2.41005632403171;3
2015;total_CO2;north;-0.763087263305016;3
2015;total_CO2;south;3.52433544366855;3
2015;total_CO2;total;2.76124818036353;3
2015;lognat_CO2;north;-0.153832036509347;3
2015;lognat_CO2;south;-0.248721209224636;3
2015;lognat_CO2;total;-0.402553245733983;3
2015;final_CO2;north;-0.916919299814363;3
2015;final_CO2;south;3.27561423444391;3
2015;final_CO2;total;2.35869493462955;3
2016;total_CO2;north;-0.811558703143516;3
2016;total_CO2;south;3.52080678199202;3
2016;total_CO2;total;2.70924807884851;3
2016;lognat_CO2;north;-0.15615082880712;3
2016;lognat_CO2;south;-0.244011008617227;3
2016;lognat_CO2;total;-0.400161837424346;3
2016;final_CO2;north;-0.967709531950635;3
2016;final_CO2;south;3.27679577337479;3
2016;final_CO2;total;2.30908624142416;3
