year;param;region;value;scenario
2010;lognat_CO2;south;-1.04100180428152;0
2010;lognat_CO2;total;-1.76180085944743;0
2010;final_CO2;north;0.000151678631253503;0
2010;final_CO2;south;3.82345457832484;0
2010;final_CO2;total;3.82360625695609;0
2011;total_CO2;north;1.06033409449323;0
2011;total_CO2;south;5.22148822043117;0
2011;total_CO2;total;6.2818223149244;0
2011;lognat_CO2;north;-0.766036411929164;0
2011;lognat_CO2;south;-0.959013202256118;0
2011;lognat_CO2;total;-1.72504961418528;0
2011;final_CO2;north;0.294297682564068;0
2011;final_CO2;south;4.26247501817505;0
2011;final_CO2;total;4.55677270073912;0
2012;total_CO2;north;1.21932872960827;0
2012;total_CO2;south;5.49512250539322;0
2012;total_CO2;total;6.71445123500149;0
2012;lognat_CO2;north;-0.700246252252329;0
2012;lognat_CO2;south;-0.840496675124921;0
2012;lognat_CO2;total;-1.54074292737725;0
2012;final_CO2;north;0.519082477355944;0
2012;final_CO2;south;4.6546258302683;0
2012;final_CO2;total;5.17370830762424;0
2013;total_CO2;north;1.49468524966169;0
2013;total_CO2;south;5.87964030089641;0
2013;total_CO2;total;7.37432555055809;0
2013;lognat_CO2;north;-0.841360038542027;0
2013;lognat_CO2;south;-1.35543092603695;0
2013;lognat_CO2;total;-2.19679096457897;0
2013;final_CO2;north;0.653325211119661;0
2013;final_CO2;south;4.52420937485946;0
2013;final_CO2;total;5.17753458597912;0
2014;total_CO2;north;1.57799271642539;0
2014;total_CO2;south;6.11848799842776;0
2014;total_CO2;total;7.69648071485315;0
2014;lognat_CO2;north;-0.775907603761076;0
2014;lognat_CO2;south;-1.31387721632387;0
2014;lognat_CO2;total;-2.08978482008495;0
2014;final_CO2;north;0.802085112664314;0
2014;final_CO2;south;4.80461078210388;0
2014;final_CO2;total;5.6066958947682;0
2015;total_CO2;north;1.66361521401302;0
2015;total_CO2;south;6.32964522122431;0
2015;total_CO2;total;7.99326043523733;0
2015;lognat_CO2;north;-0.691144431982483;0
2015;lognat_CO2;south;-1.5493571340947;0
2015;lognat_CO2;total;-2.24050156607719;0
2015;final_CO2;north;0.972470782030541;0
2015;final_CO2;south;4.7802880871296;0
2015;final_CO2;total;5.75275886916014;0
2016;total_CO2;north;1.92012838605233;0
2016;total_CO2;south;6.68712796951085;0
2016;total_CO2;total;8.60725635556319;0
2016;lognat_CO2;north;-0.605510559810366;0
2016;lognat_CO2;south;-1.67977001648409;0
2016;lognat_CO2;total;-2.28528057629445;0
2016;final_CO2;north;1.31461782624197;0
2016;final_CO2;south;5.00735795302677;0
2016;final_CO2;total;6.32197577926874;0
