"region" "ipcc" "soil" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "X2015" "X2016" "X2017" "X2018"
"71" 99 3.3 2 27636 27703 27770 27909 28048 28187 28259 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331 28331
"72" 99 3.3 99 59522 59951 60308 60731 61154 61504 61715 61926 61999 61999 61999 62071 62143 62215 62287 62359 62359 62489 62747 63005 63263 63521 63785 63921 64125 64329 64533 64601 64669 64669
"73" 99 3.5 1 38223 37602 36894 36337 36118 35936 35725 35711 35794 35861 35841 36038 36215 36462 36749 37457 38173 38988 39813 40541 40918 41260 41436 41514 41562 41610 41774 42120 42475 43021
"74" 99 3.5 2 2217 2217 2217 2217 2217 2217 2217 2217 2191 2092 1993 1894 1862 2004 2294 2584 2874 3097 3172 3172 3172 3172 3172 3172 3172 3172 3172 3172 3172 3172
"75" 99 3.5 99 40440 39819 39111 38554 38335 38153 37942 37928 37985 37953 37834 37932 38077 38466 39043 40041 41047 42085 42985 43713 44090 44432 44608 44686 44734 44782 44946 45292 45647 46193
"76" 99 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"77" 99 4 2 2928595 2925966 2923347 2920721 2918269 2915761 2912651 2909467 2906319 2903142 2899956 2897532 2895185 2893236 2891369 2889719 2887751 2886345 2885268 2883847 2882792 2881712 2879544 2877015 2875657 2874239 2873209 2872908 2872876 2872209
"78" 99 4 99 2928595 2925966 2923347 2920721 2918269 2915761 2912651 2909467 2906319 2903142 2899956 2897532 2895185 2893236 2891369 2889719 2887751 2886345 2885268 2883847 2882792 2881712 2879544 2877015 2875657 2874239 2873209 2872908 2872876 2872209
"79" 99 5 1 1204471 1208930 1213823 1219563 1225958 1232715 1240019 1247795 1256726 1266188 1275809 1285632 1297161 1308331 1320183 1333691 1347343 1360454 1374194 1387792 1400503 1413528 1425965 1437099 1446920 1455537 1462302 1467517 1472079 1476382
"80" 99 5 2 14109 14595 14933 15198 15478 15629 15805 15999 16285 16634 16939 17128 17125 17079 16931 16877 16954 17246 17608 17970 18238 18375 18444 18444 18367 18290 18213 18136 18059 18059
"81" 99 5 99 1218580 1223525 1228756 1234761 1241436 1248344 1255824 1263794 1273011 1282822 1292748 1302760 1314286 1325410 1337114 1350568 1364297 1377700 1391802 1405762 1418741 1431903 1444409 1455543 1465287 1473827 1480515 1485653 1490138 1494441
"82" 99 6 1 1313936 1313881 1313826 1313704 1313582 1313458 1313332 1313163 1313058 1312951 1312856 1312775 1312747 1312733 1312732 1312732 1312669 1312606 1312543 1312204 1311865 1311589 1311313 1310969 1310824 1310633 1310442 1310251 1310082 1309990
"83" 99 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" 99 6 99 1313936 1313881 1313826 1313704 1313582 1313458 1313332 1313163 1313058 1312951 1312856 1312775 1312747 1312733 1312732 1312732 1312669 1312606 1312543 1312204 1311865 1311589 1311313 1310969 1310824 1310633 1310442 1310251 1310082 1309990
"85" 99 42 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" 99 42 2 80828 81074 82022 83333 84968 86710 88919 90535 92318 93794 95377 96332 97594 97652 97513 97498 98725 99686 101787 104025 106601 108207 109752 111059 112285 112485 112644 112998 112630 112526
"87" 99 42 99 80828 81074 82022 83333 84968 86710 88919 90535 92318 93794 95377 96332 97594 97652 97513 97498 98725 99686 101787 104025 106601 108207 109752 111059 112285 112485 112644 112998 112630 112526
"88" 99 80 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" 99 80 2 3451615 3451836 3452057 3452269 3452407 3452487 3452508 3452544 3452531 3452532 3452666 3452913 3453209 3453490 3453756 3454017 3454150 3454156 3454162 3454520 3454743 3454966 3455251 3455536 3455469 3455469 3455469 3455469 3455469 3455469
"90" 99 80 99 3451615 3451836 3452057 3452269 3452407 3452487 3452508 3452544 3452531 3452532 3452666 3452913 3453209 3453490 3453756 3454017 3454150 3454156 3454162 3454520 3454743 3454966 3455251 3455536 3455469 3455469 3455469 3455469 3455469 3455469
"91" 99 99 99 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473 33843473
